date,open,close
2021-01-04,50.45,54.1
2021-01-05,55.9,53.4
2021-01-06,54.95,53.65
2021-01-07,53.95,53.4
2021-01-08,53.4,54.0
2021-01-11,56.7,53.7
2021-01-12,53.7,55.1
2021-01-13,52.7,53.05
2021-01-14,52.85,50.6
2021-01-15,50.6,51.4
2021-01-18,53.5,51.4
2021-01-19,51.4,51.0
2021-01-20,49.05,51.0
2021-01-21,51.45,49.55
2021-01-22,49.55,48.25
2021-01-25,48.25,49.65
2021-01-27,50.0,47.2
2021-01-28,45.55,47.2
2021-01-29,49.3,49.1
2021-02-01,50.1,47.45
2021-02-02,49.8,49.35
2021-02-03,47.3,48.0
2021-02-04,49.55,48.1
2021-02-05,50.2,48.15
2021-02-08,49.95,49.2
2021-02-09,51.9,49.8
2021-02-10,49.8,52.85
2021-02-11,52.85,55.75
2021-02-12,55.9,58.1
2021-02-15,59.3,53.8
2021-02-16,56.9,58.1
2021-02-17,59.1,57.1
2021-02-18,58.25,61.05
2021-02-19,62.3,59.6
2021-02-22,60.0,61.3
2021-02-23,61.5,60.15
2021-02-24,58.95,61.2
2021-02-25,61.25,61.2
2021-02-26,61.2,60.6
2021-03-01,62.0,58.7
2021-03-02,59.5,58.95
2021-03-03,57.15,58.65
2021-03-04,61.95,59.25
2021-03-05,58.45,58.35
2021-03-08,62.05,58.9
2021-03-09,58.9,63.3
2021-03-10,66.8,63.05
2021-03-12,62.2,63.0
2021-03-15,63.0,60.55
2021-03-16,59.05,62.15
2021-03-17,63.9,63.6
2021-03-18,63.6,59.15
2021-03-19,60.9,59.3
2021-03-22,59.7,58.35
2021-03-23,58.35,56.2
2021-03-24,57.5,57.8
2021-03-25,57.9,56.1
2021-03-26,57.7,55.35
2021-03-30,55.7,55.6
2021-03-31,55.6,57.2
2021-04-01,57.5,57.8
2021-04-05,60.2,58.4
2021-04-06,58.4,57.6
2021-04-07,57.6,56.9
2021-04-08,56.95,56.3
2021-04-09,54.05,56.5
2021-04-12,57.65,54.95
2021-04-13,54.3,54.85
2021-04-15,53.25,56.3
2021-04-16,55.25,55.6
2021-04-19,55.6,55.5
2021-04-20,56.75,54.0
2021-04-22,56.25,51.5
2021-04-23,51.55,53.3
2021-04-26,54.85,53.5
2021-04-27,53.95,53.7
2021-04-28,54.0,52.8
2021-04-29,52.8,51.7
2021-04-30,53.75,51.45
2021-05-03,54.45,52.95
2021-05-04,54.0,52.95
2021-05-05,54.05,52.1
2021-05-06,54.0,52.9
2021-05-07,53.8,54.65
2021-05-10,54.65,57.0
2021-05-11,57.0,56.5
2021-05-12,57.65,67.8
2021-05-14,74.95,81.35
2021-05-17,89.45,88.1
2021-05-18,91.5,96.9
2021-05-19,101.0,106.55
2021-05-20,106.0,101.25
2021-05-21,96.2,96.2
2021-05-24,91.4,91.4
2021-05-25,86.85,86.85
2021-05-26,82.55,91.15
2021-05-27,86.6,86.7
2021-05-28,84.0,86.9
2021-05-31,87.95,90.45
2021-06-01,91.15,87.35
2021-06-02,87.35,88.0
2021-06-03,90.85,86.1
2021-06-04,86.15,85.15
2021-06-07,84.0,84.35
2021-06-08,86.7,83.55
2021-06-09,83.55,81.55
2021-06-10,82.8,81.65
2021-06-11,81.0,81.75
2021-06-14,82.95,81.5
2021-06-15,81.5,78.45
2021-06-16,79.9,75.25
2021-06-17,75.25,71.5
2021-06-18,72.9,68.0
2021-06-21,67.9,71.4
2021-06-22,71.4,74.95
2021-06-23,76.45,78.65
2021-06-24,80.5,76.7
2021-06-25,76.8,80.4
2021-06-28,80.75,82.6
2021-06-29,82.6,80.45
2021-06-30,83.9,79.25
2021-07-01,80.9,80.15
2021-07-02,80.15,84.0
2021-07-05,85.95,86.55
2021-07-06,86.55,90.35
2021-07-07,90.4,94.15
2021-07-08,94.1,93.25
2021-07-09,91.4,97.9
2021-07-12,102.75,102.75
2021-07-13,107.8,107.85
2021-07-14,113.2,113.2
2021-07-15,114.95,118.85
2021-07-16,124.0,121.85
2021-07-19,116.15,117.35
2021-07-20,118.95,111.55
2021-07-22,106.0,113.5
2021-07-23,113.5,119.15
2021-07-26,125.1,125.1
2021-07-27,131.35,130.25
2021-07-28,125.05,131.0
2021-07-29,136.0,127.2
2021-07-30,128.4,121.2
2021-08-02,125.5,116.9
2021-08-03,115.15,116.05
2021-08-04,113.0,115.95
2021-08-05,116.25,111.9
2021-08-06,115.0,115.7
2021-08-09,119.9,109.95
2021-08-10,106.25,104.85
2021-08-11,103.4,109.95
2021-08-12,113.0,109.45
2021-08-13,109.5,104.55
2021-08-16,106.65,103.7
2021-08-17,105.8,100.6
2021-08-18,100.6,103.55
2021-08-20,102.5,99.8
2021-08-23,99.8,96.9
2021-08-24,100.0,95.45
2021-08-25,95.0,95.8
2021-08-26,95.8,97.6
2021-08-27,96.05,102.45
2021-08-30,107.5,103.9
2021-08-31,108.65,103.2
2021-09-01,100.1,101.25
2021-09-02,98.35,104.05
2021-09-03,106.2,102.0
2021-09-06,100.35,102.1
2021-09-07,105.95,102.0
2021-09-08,102.65,100.15
2021-09-09,101.0,100.15
2021-09-13,102.2,104.85
2021-09-14,108.0,106.35
2021-09-15,109.8,103.15
2021-09-16,106.0,102.8
2021-09-17,104.7,101.0
2021-09-20,101.65,98.15
2021-09-21,97.8,101.05
2021-09-22,99.0,101.0
2021-09-23,101.35,99.8
2021-09-24,99.05,101.8
2021-09-27,103.15,102.5
2021-09-28,104.0,98.7
2021-09-29,101.9,98.4
2021-09-30,98.0,98.3
2021-10-01,103.2,99.3
2021-10-04,99.4,103.05
2021-10-05,104.5,108.2
2021-10-06,113.6,113.6
2021-10-07,119.0,118.95
2021-10-08,121.45,113.55
2021-10-11,117.9,113.7
2021-10-12,114.9,112.95
2021-10-13,110.05,109.35
2021-10-14,107.35,107.05
2021-10-18,107.3,104.7
2021-10-19,103.75,102.05
2021-10-20,100.15,103.45
2021-10-21,104.0,103.45
2021-10-22,105.55,103.3
2021-10-25,103.3,101.15
2021-10-26,103.0,100.95
2021-10-27,102.7,105.95
2021-10-28,111.2,106.05
2021-10-29,108.2,104.1
2021-11-01,108.8,108.45
2021-11-02,110.65,107.65
2021-11-03,110.9,108.1
2021-11-04,108.1,109.95
2021-11-08,112.15,107.3
2021-11-09,107.3,104.55
2021-11-10,107.5,106.95
2021-11-11,108.3,111.45
2021-11-12,113.7,116.25
2021-11-15,117.0,111.65
2021-11-16,115.0,115.55
2021-11-17,117.35,111.9
2021-11-18,111.9,113.7
2021-11-22,119.0,108.15
2021-11-23,110.35,107.55
2021-11-24,106.9,108.45
2021-11-25,110.65,105.2
2021-11-26,104.95,103.75
2021-11-29,102.2,107.55
2021-11-30,109.7,112.9
2021-12-01,114.0,111.3
2021-12-02,112.8,116.7
2021-12-03,116.7,117.25
2021-12-06,118.05,116.85
2021-12-07,122.6,114.6
2021-12-08,116.9,112.5
2021-12-09,110.25,113.55
2021-12-10,114.95,113.3
2021-12-13,111.05,113.55
2021-12-14,113.55,114.45
2021-12-15,114.45,114.05
2021-12-16,114.05,112.8
2021-12-17,114.7,110.7
2021-12-20,115.0,104.1
2021-12-21,113.85,107.7
2021-12-22,114.95,109.15
2021-12-23,112.9,110.9
2021-12-24,117.95,110.35
2021-12-27,107.0,114.3
2021-12-28,114.95,112.5
2021-12-29,114.75,111.25
2021-12-30,113.3,110.75
2021-12-31,112.6,113.95
2022-01-03,113.95,125.3
2022-01-04,136.9,137.8
2022-01-05,151.55,148.45
2022-01-06,150.0,144.5
2022-01-07,147.5,141.15
2022-01-10,144.9,137.0
2022-01-11,141.95,132.0
2022-01-12,132.6,127.55
2022-01-13,131.9,135.3
2022-01-14,136.55,134.9
2022-01-17,132.0,139.2
2022-01-18,137.35,131.35
2022-01-19,128.1,134.0
2022-01-20,137.4,131.25
2022-01-21,135.85,130.95
2022-01-24,131.7,125.15
2022-01-25,120.1,125.0
2022-01-27,123.4,126.0
2022-01-28,125.55,126.5
2022-01-31,128.0,130.45
2022-02-01,132.95,126.5
2022-02-02,127.5,133.85
2022-02-03,139.8,134.0
2022-02-04,127.25,129.55
2022-02-07,132.7,130.5
2022-02-08,128.2,128.0
2022-02-09,130.95,126.15
2022-02-10,128.0,129.5
2022-02-11,133.1,126.55
2022-02-14,126.85,120.55
2022-02-15,115.05,119.0
2022-02-16,121.15,124.7
2022-02-17,126.7,123.8
2022-02-18,120.55,122.0
2022-02-21,124.65,118.0
2022-02-22,115.05,118.0
2022-02-23,113.5,118.0
2022-02-24,114.0,111.9
2022-02-25,106.35,113.0
2022-02-28,116.0,111.95
2022-03-02,113.85,108.65
2022-03-03,111.0,114.2
2022-03-04,116.95,108.2
2022-03-07,106.1,106.15
2022-03-08,111.15,106.1
2022-03-09,112.95,113.1
2022-03-10,113.1,115.1
2022-03-11,118.0,115.7
2022-03-14,119.95,118.75
2022-03-15,120.95,113.4
2022-03-16,111.5,111.9
2022-03-17,113.5,115.0
2022-03-21,115.0,112.5
2022-03-22,115.95,109.5
2022-03-23,108.95,115.55
2022-03-24,118.0,116.05
2022-03-25,117.4,114.0
2022-03-28,117.1,113.0
2022-03-29,112.2,112.4
2022-03-30,112.3,114.0
2022-03-31,116.95,113.4
2022-04-01,116.95,116.0
2022-04-04,116.8,116.0
2022-04-05,116.75,118.5
2022-04-06,120.95,115.15
2022-04-07,116.05,119.85
2022-04-08,119.85,119.1
2022-04-11,119.1,115.05
2022-04-12,117.25,122.65
2022-04-13,125.25,120.95
2022-04-18,120.0,119.55
2022-04-19,124.95,118.0
2022-04-20,123.9,118.1
2022-04-21,124.3,121.0
2022-04-22,122.4,120.0
2022-04-25,122.6,117.05
2022-04-26,122.9,119.1
2022-04-27,123.0,116.1
2022-04-28,117.45,121.0
2022-04-29,116.05,119.5
2022-05-02,119.45,118.85
2022-05-04,117.45,115.0
2022-05-05,114.3,115.0
2022-05-06,117.95,114.0
2022-05-09,114.0,117.65
2022-05-10,114.05,115.0
2022-05-11,112.3,111.0
2022-05-12,114.25,109.5
2022-05-13,115.25,115.3
2022-05-16,118.9,121.05
2022-05-17,119.05,127.1
2022-05-18,127.4,120.7
2022-05-19,120.0,120.0
2022-05-20,116.45,116.1
2022-05-23,116.15,122.75
2022-05-24,121.0,117.4
2022-05-25,117.35,114.0
2022-05-26,112.0,111.0
2022-05-27,116.85,116.0
2022-05-30,116.05,119.5
2022-05-31,123.55,117.5
2022-06-01,119.75,119.0
2022-06-02,121.25,116.2
2022-06-03,117.2,113.8
2022-06-06,113.05,117.1
2022-06-07,118.0,114.0
2022-06-08,114.3,111.1
2022-06-09,111.7,115.25
2022-06-10,112.6,115.0
2022-06-13,116.65,111.0
2022-06-14,109.05,114.45
2022-06-15,116.95,114.75
2022-06-16,115.95,111.05
2022-06-17,111.0,109.5
2022-06-20,109.9,109.5
2022-06-21,119.85,112.2
2022-06-22,113.65,111.05
2022-06-23,112.05,110.7
2022-06-24,112.2,114.0
2022-06-27,116.6,115.0
2022-06-28,112.55,112.0
2022-06-29,112.8,112.65
2022-06-30,119.0,111.0
2022-07-01,114.45,115.65
2022-07-04,114.7,114.0
2022-07-05,111.05,111.0
2022-07-06,111.5,114.1
2022-07-07,113.0,113.5
2022-07-08,113.8,113.25
2022-07-11,117.0,117.0
2022-07-12,115.4,121.0
2022-07-13,122.95,119.85
2022-07-14,120.05,120.0
2022-07-15,120.4,126.0
2022-07-18,129.7,127.5
2022-07-19,127.0,129.1
2022-07-20,129.5,125.1
2022-07-21,125.45,122.0
2022-07-22,124.6,119.5
2022-07-25,123.5,118.7
2022-07-26,122.0,130.9
2022-07-27,133.0,119.2
2022-07-28,121.95,121.35
2022-07-29,124.65,130.2
2022-08-01,135.0,133.95
2022-08-02,134.2,131.75
2022-08-03,132.25,125.0
2022-08-04,125.95,125.5
2022-08-05,126.25,131.0
2022-08-08,130.0,135.7
2022-08-10,143.0,138.3
2022-08-11,135.0,137.7
2022-08-12,136.2,138.7
2022-08-16,137.25,135.55
2022-08-17,139.9,136.75
2022-08-18,131.0,133.5
2022-08-19,133.65,132.0
2022-08-22,134.0,129.0
2022-08-23,130.25,130.4
2022-08-24,139.7,131.6
2022-08-25,135.05,133.0
2022-08-26,139.7,139.0
2022-08-29,138.0,144.5
2022-08-30,140.25,168.3
2022-09-01,185.0,198.6
2022-09-02,202.55,178.9
2022-09-05,182.4,196.75
2022-09-06,201.0,190.0
2022-09-07,187.7,186.5
2022-09-08,185.9,187.0
2022-09-09,187.05,181.0
2022-09-12,189.95,186.95
2022-09-13,186.0,177.6
2022-09-14,183.8,181.9
2022-09-15,181.9,178.8
2022-09-16,176.8,171.0
2022-09-19,171.9,172.0
2022-09-20,164.05,170.0
2022-09-21,163.9,163.6
2022-09-22,163.8,161.0
2022-09-23,164.9,160.0
2022-09-26,157.0,157.0
2022-09-27,155.0,157.0
2022-09-28,160.9,157.0
2022-09-29,154.95,156.0
2022-09-30,150.1,153.35
2022-10-03,159.95,160.0
2022-10-04,160.0,163.0
2022-10-06,165.7,165.0
2022-10-07,168.0,164.0
2022-10-10,165.35,161.5
2022-10-11,160.0,161.0
2022-10-12,161.8,160.05
2022-10-13,161.5,163.0
2022-10-14,160.5,162.0
2022-10-17,164.75,161.9
2022-10-18,164.8,162.0
2022-10-19,162.0,160.0
2022-10-20,157.5,155.3
2022-10-21,151.3,153.8
2022-10-24,155.0,159.95
2022-10-25,157.95,158.0
2022-10-27,158.95,156.0
2022-10-28,155.9,157.0
2022-10-31,160.0,158.0
2022-11-01,153.05,158.0
2022-11-02,157.95,158.0
2022-11-03,159.15,156.2
2022-11-04,158.0,156.0
2022-11-07,155.0,161.0
2022-11-09,158.5,158.0
2022-11-10,161.0,160.0
2022-11-11,158.55,163.0
2022-11-14,166.0,168.0
2022-11-15,168.0,167.0
2022-11-16,164.85,161.5
2022-11-17,164.95,160.0
2022-11-18,155.1,160.9
2022-11-21,160.0,159.0
2022-11-22,158.3,160.0
2022-11-23,155.2,159.2
2022-11-24,159.2,157.0
2022-11-25,156.0,158.0
2022-11-28,159.0,159.0
2022-11-29,156.6,158.0
2022-11-30,159.0,158.0
2022-12-01,160.0,158.85
2022-12-02,156.2,157.75
2022-12-05,158.0,165.65
2022-12-06,171.5,173.6
2022-12-07,177.95,168.05
2022-12-08,166.4,172.4
2022-12-09,172.5,169.35
2022-12-12,176.95,173.5
2022-12-13,174.0,177.0
2022-12-14,179.0,170.3
2022-12-15,169.0,165.5
2022-12-16,165.5,163.3
2022-12-19,170.0,171.5
2022-12-20,174.4,168.95
2022-12-21,175.0,166.5
2022-12-22,162.15,157.35
2022-12-23,152.15,158.0
2022-12-26,160.0,164.65
2022-12-27,171.0,170.65
2022-12-28,171.5,171.0
2022-12-29,169.95,170.5
2022-12-30,174.0,170.0
2023-01-02,175.5,175.0
2023-01-03,168.4,175.3
2023-01-04,178.0,173.0
2023-01-05,175.9,170.0
2023-01-06,174.5,168.0
2023-01-09,174.4,170.6
2023-01-10,174.0,167.7
2023-01-11,170.1,160.95
2023-01-12,165.85,168.2
2023-01-13,169.9,172.1
2023-01-16,175.0,175.0
2023-01-17,177.0,168.7
2023-01-18,169.0,177.1
2023-01-19,182.45,185.0
2023-01-20,190.2,185.0
2023-01-23,190.8,186.45
2023-01-24,189.85,190.0
2023-01-25,186.8,183.0
2023-01-27,181.65,179.3
2023-01-30,178.0,183.6
2023-01-31,187.0,183.0
2023-02-01,183.7,175.0
2023-02-02,175.05,181.0
2023-02-03,189.45,175.0
2023-02-06,175.0,179.0
2023-02-07,185.0,177.35
2023-02-08,181.5,180.0
2023-02-09,180.0,179.25
2023-02-10,181.0,177.0
2023-02-13,184.0,175.5
2023-02-14,180.0,179.9
2023-02-15,181.0,176.5
2023-02-16,181.0,177.3
2023-02-17,177.15,176.5
2023-02-20,172.25,172.1
2023-02-21,171.3,189.4
2023-02-22,203.95,208.3
2023-02-23,208.0,228.6
2023-02-24,232.0,217.2
2023-02-27,206.35,206.35
2023-02-28,196.05,196.05
2023-03-01,186.25,191.5
2023-03-02,201.9,202.15
2023-03-03,206.0,191.9
2023-03-06,187.1,184.0
2023-03-08,181.9,193.9
2023-03-09,198.8,191.8
2023-03-10,191.2,193.9
2023-03-13,189.0,186.2
2023-03-14,186.4,177.7
2023-03-15,177.65,180.0
2023-03-16,179.5,178.0
2023-03-17,182.15,183.9
2023-03-20,180.9,179.7
2023-03-21,175.7,187.1
2023-03-22,192.0,185.0
2023-03-23,186.75,184.0
2023-03-24,184.0,181.5
2023-03-27,187.0,181.8
2023-03-28,181.8,178.5
2023-03-29,179.15,183.9
2023-03-31,181.0,181.15
2023-04-03,186.9,183.5
2023-04-05,185.4,185.5
2023-04-06,187.0,194.0
2023-04-10,199.2,194.7
2023-04-11,196.65,196.0
2023-04-12,202.95,202.6
2023-04-13,202.6,196.0
2023-04-17,198.0,211.7
2023-04-18,222.0,218.0
2023-04-19,222.5,223.0
2023-04-20,228.35,219.95
2023-04-21,216.05,216.6
2023-04-24,215.25,218.55
2023-04-25,218.55,218.1
2023-04-26,218.1,219.0
2023-04-27,219.0,217.05
2023-04-28,220.0,221.0
2023-05-02,223.75,222.75
2023-05-03,222.0,221.0
2023-05-04,222.35,219.85
2023-05-05,210.6,219.0
2023-05-08,218.5,219.8
2023-05-09,219.0,220.0
2023-05-10,220.0,207.9
2023-05-11,207.9,214.9
2023-05-12,209.0,217.0
2023-05-15,219.8,236.75
2023-05-16,256.95,259.7
2023-05-17,259.95,236.95
2023-05-18,241.0,235.0
2023-05-19,244.0,221.65
2023-05-22,224.8,217.0
2023-05-23,217.95,218.0
2023-05-24,217.0,227.95
2023-05-25,229.5,228.7
2023-05-26,229.0,226.8
2023-05-29,226.55,215.5
2023-05-30,224.0,215.9
2023-05-31,222.0,212.6
2023-06-01,211.65,217.2
2023-06-02,220.7,222.0
2023-06-05,224.95,227.0
2023-06-06,229.0,228.0
2023-06-07,227.0,225.1
2023-06-08,227.45,223.0
2023-06-09,220.95,219.0
2023-06-12,221.9,222.0
2023-06-13,223.9,223.5
2023-06-14,220.6,221.0
2023-06-15,218.25,219.9
2023-06-16,227.4,222.0
2023-06-19,221.95,219.15
2023-06-20,216.2,223.9
2023-06-21,221.6,216.0
2023-06-22,219.85,218.0
2023-06-23,217.0,217.0
2023-06-26,226.0,221.45
2023-06-27,224.0,220.5
2023-06-28,221.65,222.0
2023-06-30,225.0,218.0
2023-07-03,222.0,221.5
2023-07-04,217.6,220.0
2023-07-05,218.0,236.7
2023-07-06,235.5,244.9
2023-07-07,250.0,235.0
2023-07-10,242.0,235.0
2023-07-11,222.5,238.0
2023-07-12,238.9,236.0
2023-07-13,241.9,234.0
2023-07-14,234.85,234.8
2023-07-17,234.0,233.6
2023-07-18,235.0,230.0
2023-07-19,229.8,235.0
2023-07-20,232.6,232.0
2023-07-21,231.05,233.0
2023-07-24,228.0,235.0
2023-07-25,235.0,238.0
2023-07-26,238.0,237.8
2023-07-27,241.0,238.0
2023-07-28,241.0,237.5
2023-07-31,240.7,236.6
2023-08-01,236.6,239.0
2023-08-02,239.9,236.9
2023-08-03,230.0,237.0
2023-08-04,237.0,236.5
2023-08-07,238.0,242.15
2023-08-08,253.5,253.0
2023-08-09,251.6,252.65
2023-08-10,255.9,251.0
2023-08-11,250.65,248.95
2023-08-14,248.0,250.95
2023-08-16,250.05,252.8
2023-08-17,247.4,259.7
2023-08-18,264.25,272.2
2023-08-21,280.0,285.8
2023-08-22,286.5,283.0
2023-08-23,276.5,277.0
2023-08-24,274.9,271.5
2023-08-25,266.1,266.1
2023-08-28,259.8,259.8
2023-08-29,259.75,260.0
2023-08-30,260.0,261.65
2023-08-31,261.65,266.85
2023-09-01,270.0,269.25
2023-09-04,269.25,269.5
2023-09-05,269.55,268.0
2023-09-06,267.0,262.65
2023-09-07,260.0,257.4
2023-09-08,257.4,253.0
2023-09-11,254.0,253.0
2023-09-12,253.0,252.0
2023-09-13,252.05,253.0
2023-09-14,253.0,252.6
2023-09-15,253.1,255.0
2023-09-18,255.0,252.0
2023-09-20,252.0,251.5
2023-09-21,251.5,252.0
2023-09-22,252.0,250.0
2023-09-25,250.0,246.0
2023-09-26,246.0,245.0
2023-09-27,244.0,244.0
2023-09-28,242.0,242.5
2023-09-29,247.35,247.35
2023-10-03,247.35,259.7
2023-10-04,272.0,272.65
2023-10-05,282.9,270.05
2023-10-06,284.65,273.0
2023-10-09,250.95,260.0
2023-10-10,248.5,272.0
2023-10-11,273.5,275.0
2023-10-12,286.1,282.0
2023-10-13,282.35,275.0
2023-10-16,295.0,284.0
2023-10-17,280.0,289.4
2023-10-18,294.95,287.0
2023-10-19,290.0,294.0
2023-10-20,280.05,284.4
2023-10-23,281.65,275.1
2023-10-25,277.1,265.5
2023-10-26,265.45,291.95
