date,open,close
2023-02-23,44.0,44.05
2023-02-24,42.6,42.0
2023-02-27,42.0,42.7
2023-02-28,42.0,42.2
2023-03-01,42.0,40.05
2023-03-02,40.0,41.75
2023-03-03,40.0,41.5
2023-03-06,40.0,39.0
2023-03-08,38.0,37.5
2023-03-09,39.0,39.35
2023-03-10,40.0,37.65
2023-03-13,37.9,38.45
2023-03-14,37.3,34.5
2023-03-15,34.0,31.0
2023-03-16,31.0,31.0
2023-03-20,30.5,30.5
2023-03-21,32.35,36.6
2023-03-22,36.6,38.3
2023-03-23,38.9,39.2
2023-03-24,38.5,38.5
2023-03-28,38.0,38.0
2023-03-29,31.0,37.5
2023-03-31,37.0,37.0
2023-04-05,36.5,35.5
2023-04-10,35.0,34.5
2023-04-12,34.0,34.0
2023-04-13,35.0,35.0
2023-04-17,34.5,34.5
2023-04-18,34.0,34.0
2023-04-19,35.0,35.0
2023-04-20,34.0,33.5
2023-04-24,34.5,36.95
2023-04-25,35.5,35.5
2023-05-02,36.5,36.5
2023-05-04,35.5,36.6
2023-05-08,36.0,36.95
2023-05-09,37.0,37.1
2023-05-12,36.55,36.1
2023-05-15,37.1,36.15
2023-05-19,36.05,36.0
2023-05-22,37.0,36.55
2023-05-23,36.0,36.0
2023-05-29,37.0,41.0
2023-05-30,36.1,37.95
2023-06-01,37.2,37.8
2023-06-05,37.0,37.5
2023-06-06,37.45,37.0
2023-06-07,36.4,36.2
2023-06-08,37.0,37.75
2023-06-09,38.0,38.0
2023-06-12,38.0,38.0
2023-06-13,38.0,39.7
2023-06-14,41.0,38.75
2023-06-15,38.5,37.5
2023-06-16,36.55,34.3
2023-06-19,36.0,36.0
2023-06-21,36.5,37.5
2023-06-23,36.0,36.0
2023-06-26,36.1,36.1
2023-06-27,35.5,35.5
2023-06-30,35.55,34.5
2023-07-03,34.8,34.8
2023-07-04,35.5,35.0
2023-07-05,35.0,34.95
2023-07-06,34.0,33.5
2023-07-10,33.0,33.0
2023-07-13,33.15,33.15
2023-07-17,33.0,35.0
2023-07-18,34.05,34.05
2023-07-19,35.0,35.0
2023-07-20,35.0,35.25
2023-07-24,35.0,35.0
2023-07-25,35.0,35.95
2023-07-28,36.0,36.0
2023-07-31,36.5,36.5
2023-08-01,36.5,36.5
2023-08-03,35.5,35.0
2023-08-04,34.5,34.5
2023-08-07,35.5,35.5
2023-08-08,36.0,35.95
2023-08-10,36.5,36.0
2023-08-11,36.0,37.0
2023-08-16,37.5,37.0
2023-08-18,36.6,36.6
2023-08-21,36.5,36.5
2023-08-22,36.0,36.0
2023-08-23,36.05,37.0
2023-08-25,37.0,37.0
2023-08-28,37.0,37.0
2023-08-29,36.5,36.5
2023-08-30,36.5,39.5
2023-08-31,40.75,38.85
2023-09-01,38.05,39.75
2023-09-04,40.0,45.85
2023-09-05,48.75,49.25
2023-09-06,48.05,50.4
2023-09-07,49.9,47.5
2023-09-08,46.0,46.85
2023-09-11,44.5,46.75
2023-09-12,45.35,44.65
2023-09-13,45.0,45.0
2023-09-14,46.35,46.0
2023-09-15,46.9,46.9
2023-09-18,46.95,46.5
2023-09-20,44.5,44.25
2023-09-21,44.0,44.1
2023-09-22,43.5,43.0
2023-09-25,42.5,42.6
2023-09-26,41.75,41.05
2023-09-27,41.1,41.1
2023-09-28,41.05,40.0
2023-09-29,40.5,42.0
2023-10-03,43.0,45.0
2023-10-04,45.0,43.0
2023-10-06,43.3,43.3
2023-10-09,43.0,44.7
2023-10-10,44.65,44.6
2023-10-11,45.9,45.5
2023-10-12,44.0,51.95
2023-10-13,51.95,50.9
2023-10-16,51.9,52.3
2023-10-17,53.0,54.5
2023-10-18,53.65,56.9
2023-10-19,57.5,60.9
2023-10-20,59.9,64.4
2023-10-23,65.0,59.35
2023-10-25,59.35,59.8
2023-10-26,59.7,59.5
2023-10-27,60.0,59.7
2023-10-30,61.0,62.0
2023-10-31,62.0,60.35
2023-11-01,62.7,61.35
2023-11-02,60.0,60.0
2023-11-03,60.0,62.0
2023-11-06,61.5,61.0
2023-11-07,58.1,58.0
2023-11-08,57.0,57.95
2023-11-09,58.95,58.8
2023-11-10,57.0,57.7
2023-11-15,60.0,60.0
2023-11-16,60.9,60.0
2023-11-17,60.9,60.0
2023-11-20,60.35,61.75
2023-11-21,61.6,60.0
2023-11-22,60.0,60.0
2023-11-23,60.0,59.0
2023-11-24,58.05,58.9
2023-11-28,59.0,58.0
2023-11-29,59.0,56.25
2023-11-30,56.05,57.4
2023-12-01,58.8,60.0
2023-12-04,59.7,58.5
2023-12-05,60.0,61.0
2023-12-06,60.55,60.05
2023-12-07,60.4,65.3
2023-12-08,66.0,60.0
2023-12-11,59.05,60.0
2023-12-12,58.6,61.45
2023-12-13,59.0,60.9
2023-12-14,60.0,60.5
2023-12-15,60.5,60.2
2023-12-18,59.0,58.0
2023-12-20,57.0,56.05
