date,open,close
2022-11-16,129.95,136.4
2022-11-17,143.2,143.2
2022-11-18,149.0,147.3
2022-11-21,139.95,139.95
2022-11-22,133.0,133.0
2022-11-23,126.35,126.35
2022-11-24,122.5,132.65
2022-11-25,130.0,135.75
2022-11-28,141.9,135.25
2022-11-29,135.0,128.75
2022-11-30,127.05,115.7
2022-12-01,120.0,117.2
2022-12-02,118.0,116.75
2022-12-05,118.0,116.35
2022-12-06,108.0,105.0
2022-12-07,108.0,108.0
2022-12-08,108.0,108.0
2022-12-09,105.35,105.0
2022-12-12,98.0,103.95
2022-12-13,105.0,97.25
2022-12-14,99.25,99.25
2022-12-16,99.2,102.95
2022-12-19,102.75,98.3
2022-12-21,97.0,95.0
2022-12-22,95.0,86.7
2022-12-23,87.0,82.65
2022-12-26,84.5,94.95
2022-12-28,91.8,100.35
2022-12-29,103.0,103.0
2022-12-30,95.0,95.0
2023-01-02,97.0,97.0
2023-01-03,95.0,102.0
2023-01-04,92.1,91.3
2023-01-05,91.0,98.25
2023-01-06,95.0,94.0
2023-01-10,96.0,96.0
2023-01-11,94.0,97.0
2023-01-12,96.0,96.0
2023-01-13,96.0,96.0
2023-01-16,95.0,95.0
2023-01-17,96.0,101.0
2023-01-18,103.0,100.9
2023-01-19,99.5,99.1
2023-01-20,99.5,95.0
2023-01-23,97.0,98.0
2023-01-24,95.5,95.5
2023-01-25,95.0,91.0
2023-01-27,95.0,90.0
2023-02-01,87.05,87.05
2023-02-02,86.0,86.0
2023-02-03,88.0,89.0
2023-02-08,86.0,87.0
2023-02-09,86.9,89.1
2023-02-10,90.0,90.0
2023-02-14,90.0,90.0
2023-02-15,88.0,89.0
2023-02-16,89.0,87.1
2023-02-17,87.0,86.0
2023-02-20,86.0,88.0
2023-02-22,86.0,86.0
2023-02-27,81.0,80.0
2023-02-28,78.1,78.1
2023-03-03,78.5,78.25
2023-03-06,75.05,79.95
2023-03-08,78.95,78.95
2023-03-13,80.95,73.5
2023-03-14,73.0,72.0
2023-03-15,70.0,72.0
2023-03-17,72.0,72.0
2023-03-21,71.0,75.0
2023-03-22,73.05,73.35
2023-03-23,73.0,74.95
2023-03-24,89.9,80.0
2023-03-27,83.95,75.25
2023-03-28,75.0,75.0
2023-03-29,73.55,73.55
2023-03-31,73.55,72.15
2023-04-05,75.0,76.0
2023-04-10,75.0,75.0
2023-04-12,78.0,78.0
2023-04-17,74.0,74.0
2023-04-18,73.0,73.0
2023-04-24,78.0,81.15
2023-04-28,87.0,89.95
2023-05-03,85.0,85.0
2023-05-04,81.0,81.0
2023-05-09,94.45,85.0
2023-05-16,86.0,86.0
2023-05-18,89.95,89.0
2023-05-19,90.0,91.0
2023-05-22,89.0,91.0
2023-05-24,89.0,89.0
2023-05-26,89.0,86.1
2023-05-30,84.0,86.0
2023-05-31,84.5,84.5
2023-06-01,84.5,84.25
2023-06-02,86.0,86.0
2023-06-05,87.0,87.0
2023-06-06,84.1,82.0
2023-06-07,84.05,80.75
2023-06-08,82.0,80.2
2023-06-09,82.0,82.9
2023-06-12,80.0,80.5
2023-06-13,81.0,80.05
2023-06-14,78.0,80.75
2023-06-16,81.0,81.0
2023-06-19,76.05,81.9
2023-06-20,77.1,77.1
2023-06-26,77.0,77.0
2023-06-30,76.5,76.2
2023-07-03,78.0,78.0
2023-07-04,78.0,76.05
2023-07-05,76.5,76.0
2023-07-10,76.0,76.0
2023-07-11,73.0,74.0
2023-07-13,76.0,76.0
2023-07-17,76.0,78.0
2023-07-18,78.0,78.0
2023-07-19,78.45,77.0
2023-07-31,76.0,76.0
2023-08-01,77.0,77.5
2023-08-02,80.0,81.0
2023-08-04,77.45,77.4
2023-08-09,77.05,77.05
2023-08-10,77.05,77.05
2023-08-11,77.0,78.5
2023-08-16,78.7,78.7
2023-08-21,77.0,77.0
2023-08-22,76.95,76.95
2023-08-24,74.0,74.0
2023-08-25,78.0,75.05
2023-08-28,75.05,75.05
2023-08-29,79.0,79.0
2023-08-31,77.05,77.05
2023-09-01,77.05,80.95
2023-09-04,80.95,83.0
2023-09-05,84.5,84.5
2023-09-06,86.0,85.5
2023-09-07,86.0,88.5
2023-09-08,86.0,86.0
2023-09-11,84.0,86.0
2023-09-12,82.0,82.0
2023-09-13,82.0,82.0
2023-09-14,84.0,84.0
2023-09-18,86.0,84.0
2023-09-21,86.0,84.0
2023-09-25,84.0,84.0
2023-09-26,81.0,81.0
2023-09-29,81.0,85.0
2023-10-03,86.0,86.0
2023-10-04,84.0,84.0
2023-10-10,85.9,85.95
2023-10-11,86.0,86.0
2023-10-12,80.0,86.0
2023-10-13,86.0,86.0
2023-10-16,86.0,86.0
2023-10-17,88.9,88.85
2023-10-18,90.95,90.95
2023-10-19,91.0,89.0
2023-10-20,89.0,84.5
2023-10-23,84.5,84.5
2023-10-25,89.95,75.0
2023-10-26,84.6,89.8
2023-10-27,90.0,90.0
2023-11-01,88.0,92.0
2023-11-02,89.0,89.0
2023-11-03,94.0,93.0
2023-11-08,88.0,93.0
2023-11-09,97.0,82.8
2023-11-10,83.0,88.0
2023-11-13,90.0,88.0
2023-11-16,87.0,87.0
2023-11-17,85.0,85.0
2023-11-20,86.9,86.9
2023-11-28,80.1,80.1
2023-11-30,82.0,86.95
2023-12-01,80.0,80.5
2023-12-04,85.9,85.9
2023-12-05,85.9,85.9
2023-12-06,84.95,84.95
2023-12-08,85.0,80.0
2023-12-11,80.0,79.95
2023-12-12,79.95,80.0
2023-12-13,95.8,81.95
2023-12-14,66.0,79.75
2023-12-20,76.0,74.0
