date,open,close
2022-12-15,60.0,63.0
2022-12-16,66.15,66.15
2022-12-19,69.45,69.45
2022-12-20,72.9,72.9
2022-12-21,76.5,76.5
2022-12-22,76.95,72.7
2022-12-23,69.1,69.1
2022-12-26,65.65,70.45
2022-12-27,67.1,67.0
2022-12-28,67.0,70.35
2022-12-29,74.0,69.65
2022-12-30,69.25,67.8
2023-01-02,65.75,61.85
2023-01-03,64.4,67.8
2023-01-04,67.9,68.75
2023-01-05,72.0,73.55
2023-01-06,79.7,74.8
2023-01-09,75.1,73.0
2023-01-10,73.9,70.0
2023-01-11,69.25,69.6
2023-01-12,69.8,69.8
2023-01-13,68.7,68.5
2023-01-16,66.1,69.6
2023-01-17,69.85,69.95
2023-01-18,70.1,72.75
2023-01-19,74.85,72.0
2023-01-20,71.2,71.85
2023-01-23,72.0,72.0
2023-01-24,73.0,72.0
2023-01-25,73.35,71.7
2023-01-27,73.9,69.0
2023-01-30,67.6,67.6
2023-01-31,67.8,69.45
2023-02-01,71.0,71.2
2023-02-02,68.0,69.0
2023-02-03,66.15,67.4
2023-02-06,71.4,69.0
2023-02-07,66.25,66.0
2023-02-08,66.0,65.95
2023-02-09,65.95,67.5
2023-02-10,65.1,67.2
2023-02-13,67.0,65.05
2023-02-14,63.05,63.0
2023-02-15,61.0,63.0
2023-02-16,61.4,62.8
2023-02-17,62.05,62.5
2023-02-20,62.5,60.25
2023-02-21,61.95,61.95
2023-02-22,61.0,61.0
2023-02-23,60.0,57.0
2023-02-24,58.0,57.75
2023-02-27,55.85,55.85
2023-02-28,57.0,55.7
2023-03-01,57.0,58.0
2023-03-02,59.0,59.0
2023-03-03,59.0,59.0
2023-03-06,59.0,59.0
2023-03-08,59.0,56.05
2023-03-09,56.5,57.75
2023-03-10,58.75,58.75
2023-03-13,58.75,57.0
2023-03-14,55.3,50.75
2023-03-15,58.25,52.95
2023-03-16,54.9,52.8
2023-03-17,50.0,50.0
2023-03-20,49.0,50.5
2023-03-21,50.0,49.8
2023-03-22,50.0,50.0
2023-03-23,50.05,50.0
2023-03-24,51.2,49.0
2023-03-27,49.0,49.0
2023-03-28,46.5,45.5
2023-03-29,47.0,48.0
2023-03-31,48.5,49.5
2023-04-03,54.4,54.4
2023-04-05,62.0,60.7
2023-04-06,58.2,61.95
2023-04-11,54.5,60.95
2023-04-12,60.95,63.2
2023-04-13,63.2,63.0
2023-04-17,60.0,61.1
2023-04-18,59.3,62.45
2023-04-19,60.55,59.15
2023-04-20,60.75,60.75
2023-04-24,62.75,60.0
2023-04-25,60.0,57.6
2023-04-26,58.8,58.9
2023-04-27,57.6,57.8
2023-04-28,57.8,59.2
2023-05-02,59.5,57.75
2023-05-04,60.0,59.6
2023-05-05,59.65,58.3
2023-05-08,58.5,58.3
2023-05-09,60.0,61.6
2023-05-10,62.55,62.8
2023-05-11,59.0,59.15
2023-05-12,59.9,59.9
2023-05-15,59.9,59.9
2023-05-16,59.5,60.0
2023-05-17,59.0,58.6
2023-05-18,57.05,58.35
2023-05-19,60.35,69.6
2023-05-22,78.4,80.95
2023-05-23,82.0,79.85
2023-05-24,80.9,90.3
2023-05-25,90.75,90.0
2023-05-26,85.6,85.0
2023-05-29,83.7,83.5
2023-05-30,82.95,78.75
2023-05-31,75.0,80.1
2023-06-01,83.2,81.0
2023-06-02,81.0,80.0
2023-06-05,78.0,79.35
2023-06-06,78.5,78.0
2023-06-07,76.6,77.8
2023-06-08,77.8,75.0
2023-06-09,74.0,73.55
2023-06-12,79.45,80.9
2023-06-13,81.45,81.9
2023-06-14,83.0,79.25
2023-06-15,80.0,77.25
2023-06-16,78.0,78.0
2023-06-19,82.35,80.0
2023-06-20,77.2,80.75
2023-06-21,80.75,79.25
