date,open,close
2021-01-04,22.55,22.55
2021-01-05,23.65,23.65
2021-01-06,24.5,24.8
2021-01-07,26.0,26.0
2021-01-08,27.3,26.5
2021-01-11,27.8,27.8
2021-01-12,27.3,29.15
2021-01-13,30.6,28.5
2021-01-14,28.4,28.0
2021-01-15,28.0,28.3
2021-01-18,28.05,28.0
2021-01-19,28.05,28.5
2021-01-20,29.9,29.9
2021-01-21,31.35,31.35
2021-01-22,32.05,29.9
2021-01-25,29.0,28.45
2021-01-27,27.1,27.5
2021-01-28,26.2,26.15
2021-01-29,24.85,27.05
2021-02-01,25.75,25.7
2021-02-03,26.0,26.0
2021-02-08,26.9,24.7
2021-02-09,23.6,23.5
2021-02-10,22.5,22.35
2021-02-12,21.25,21.25
2021-02-15,22.3,21.7
2021-02-19,20.65,20.65
2021-02-22,21.65,21.65
2021-02-23,22.7,22.7
2021-02-24,23.75,23.75
2021-02-25,22.6,23.9
2021-02-26,22.85,22.75
2021-03-02,21.7,22.45
2021-03-03,22.5,22.5
2021-03-04,23.0,23.55
2021-03-05,24.7,23.5
2021-03-08,22.35,22.35
2021-03-09,21.8,23.45
2021-03-10,24.6,24.6
2021-03-12,25.8,25.8
2021-03-15,27.05,26.95
2021-03-16,26.0,27.25
2021-03-17,25.9,25.9
2021-03-18,27.1,25.0
2021-03-22,26.25,26.25
2021-03-23,27.55,27.55
2021-03-24,28.9,28.9
2021-03-25,27.8,27.5
2021-03-26,28.65,28.8
2021-03-30,30.05,30.15
2021-04-01,31.3,31.3
2021-04-05,29.75,29.75
2021-04-07,28.3,28.3
2021-04-08,28.95,29.0
2021-04-09,27.55,27.55
2021-04-12,26.2,26.2
2021-04-15,25.0,26.7
2021-04-16,25.4,25.4
2021-04-19,24.15,24.15
2021-04-20,25.35,25.35
2021-04-22,26.55,26.55
2021-04-27,27.2,25.25
2021-04-28,25.25,25.25
2021-04-29,24.0,24.0
2021-05-05,23.0,23.05
2021-05-06,23.0,23.0
2021-05-14,24.15,24.15
2021-05-17,24.5,24.5
2021-05-19,25.7,25.7
2021-05-20,24.45,25.7
2021-05-24,25.2,26.7
2021-05-25,26.0,26.0
2021-06-03,26.5,26.5
2021-06-04,26.05,26.05
2021-06-08,26.0,26.0
2021-06-09,25.0,26.7
2021-06-10,25.45,25.45
2021-06-11,25.0,24.25
2021-06-15,25.25,25.25
2021-06-16,25.0,25.0
2021-06-17,23.8,23.8
2021-06-21,24.95,24.95
2021-06-22,26.15,26.15
2021-06-23,27.45,27.45
2021-06-24,28.75,28.8
2021-06-25,30.2,30.2
2021-06-28,31.5,31.6
2021-06-29,32.6,32.05
2021-06-30,32.05,30.45
2021-07-01,30.0,30.0
2021-07-05,30.5,29.2
2021-07-06,30.5,29.5
2021-07-07,28.1,30.4
2021-07-08,30.4,29.9
2021-07-09,29.0,29.0
2021-07-12,28.95,28.95
2021-07-13,28.25,30.0
2021-07-14,29.95,31.45
2021-07-16,30.0,32.65
2021-07-23,32.0,32.0
2021-07-26,30.4,30.4
2021-07-27,29.8,29.6
2021-07-28,29.5,29.3
2021-07-29,29.0,29.0
2021-07-30,30.45,30.45
2021-08-02,30.45,29.95
2021-08-03,30.0,29.0
2021-08-04,29.0,28.1
2021-08-05,28.1,28.55
2021-08-06,29.0,29.95
2021-08-09,30.0,31.4
2021-08-10,32.9,32.55
2021-08-11,31.35,31.1
2021-08-12,31.1,29.95
2021-08-13,29.2,28.65
2021-08-16,27.5,29.55
2021-08-17,29.55,29.45
2021-08-18,28.15,29.85
2021-08-20,29.35,29.35
2021-08-23,28.0,28.0
2021-08-24,26.65,26.65
2021-08-27,27.95,27.95
2021-08-30,28.05,27.95
2021-08-31,27.15,29.3
2021-09-01,28.5,30.65
2021-09-02,30.25,31.7
2021-09-03,32.45,33.1
2021-09-06,34.7,34.5
2021-09-07,33.0,32.85
2021-09-08,34.15,33.95
2021-09-09,35.5,35.6
2021-09-13,35.0,35.95
2021-09-14,35.4,35.45
2021-09-15,37.15,36.45
2021-09-16,37.9,36.05
2021-09-17,35.8,35.2
2021-09-20,34.0,35.95
2021-09-21,34.5,34.2
2021-09-22,32.55,32.7
2021-09-23,31.25,31.35
2021-09-24,30.0,32.9
2021-09-27,32.9,32.7
2021-09-28,32.9,34.1
2021-09-29,34.1,34.45
2021-09-30,34.0,33.95
2021-10-01,32.75,32.75
2021-10-04,32.75,33.5
