date,open,close
2021-01-04,44.75,44.0
2021-01-05,43.05,44.1
2021-01-06,44.3,43.25
2021-01-07,43.55,43.1
2021-01-08,43.5,42.85
2021-01-11,43.3,41.3
2021-01-12,40.65,41.65
2021-01-13,42.0,41.1
2021-01-14,41.0,43.15
2021-01-15,43.15,43.65
2021-01-18,43.2,42.0
2021-01-19,42.55,41.4
2021-01-20,41.45,43.15
2021-01-21,43.5,41.75
2021-01-22,41.75,39.7
2021-01-25,40.0,39.75
2021-01-27,39.45,39.3
2021-01-28,39.0,39.7
2021-01-29,40.4,39.75
2021-02-01,39.85,40.45
2021-02-02,40.6,41.0
2021-02-03,41.6,43.05
2021-02-04,43.7,43.5
2021-02-05,44.3,42.6
2021-02-08,44.7,44.7
2021-02-09,46.9,46.9
2021-02-10,46.9,45.25
2021-02-11,45.25,46.0
2021-02-12,45.95,44.5
2021-02-15,45.0,45.7
2021-02-16,46.4,46.65
2021-02-17,46.65,47.7
2021-02-18,48.1,50.05
2021-02-19,51.4,52.1
2021-02-22,54.0,54.7
2021-02-23,57.4,57.35
2021-02-24,57.4,54.8
2021-02-25,55.6,56.45
2021-02-26,55.9,56.45
2021-03-01,58.0,56.85
2021-03-02,57.95,57.5
2021-03-03,58.0,60.3
2021-03-04,58.7,63.3
2021-03-05,64.0,61.7
2021-03-08,63.0,62.15
2021-03-09,63.5,61.85
2021-03-10,62.9,61.5
2021-03-12,62.0,61.6
2021-03-15,62.1,60.3
2021-03-16,61.0,62.95
2021-03-17,63.9,60.2
2021-03-18,61.45,57.55
2021-03-19,54.7,58.95
2021-03-22,61.4,61.85
2021-03-23,63.0,64.9
2021-03-24,68.1,68.0
2021-03-25,69.0,67.1
2021-03-26,67.4,67.9
2021-03-30,68.8,66.3
2021-03-31,66.5,67.95
2021-04-01,68.15,68.6
2021-04-05,68.75,66.45
2021-04-06,67.0,69.75
2021-04-07,71.2,73.2
2021-04-08,74.85,76.85
2021-04-09,77.8,78.55
2021-04-12,78.4,74.65
2021-04-13,72.55,70.95
2021-04-15,68.65,69.05
