date,open,close
2021-01-14,41.0,41.0
2021-01-15,42.0,42.0
2021-02-02,43.1,43.1
2021-02-08,44.0,44.0
2021-02-11,41.5,41.5
2021-02-19,40.55,44.05
2021-02-22,44.1,44.1
2021-02-23,44.1,44.1
2021-02-24,44.5,44.5
2021-02-25,45.1,45.1
2021-02-26,45.05,45.05
2021-03-01,45.0,45.15
2021-03-03,45.75,45.75
2021-03-04,46.0,46.0
2021-03-05,46.25,46.25
2021-03-09,46.5,46.5
2021-03-16,46.75,46.75
2021-03-24,47.6,47.6
2021-04-06,47.0,47.7
2021-04-08,47.7,47.7
2021-04-12,47.5,47.5
2021-04-19,47.0,47.0
2021-05-05,47.0,47.0
2021-05-25,47.4,47.4
2021-06-02,47.8,47.8
2021-06-03,47.5,47.5
2021-06-04,48.1,48.1
2021-06-07,48.7,48.7
2021-06-22,46.0,46.0
2021-06-23,48.9,48.9
2021-06-29,50.0,50.0
2021-07-06,52.0,52.55
2021-07-07,54.0,54.0
2021-07-15,50.5,50.5
2021-07-19,54.4,54.4
2021-08-04,57.0,57.0
2021-08-09,57.75,57.75
2021-08-13,57.75,59.55
2021-08-16,60.25,62.55
2021-08-17,62.5,65.4
2021-08-18,64.6,65.5
2021-08-23,65.5,67.55
2021-09-01,64.0,66.0
2021-09-02,63.5,65.5
2021-09-03,64.0,64.35
2021-09-06,64.5,66.5
2021-09-09,67.0,66.0
2021-09-14,66.5,66.5
2021-09-17,66.0,66.0
2021-09-29,66.25,66.25
2021-10-01,66.5,66.5
2021-11-03,69.2,69.2
2021-11-11,75.0,80.65
2021-11-12,96.75,96.75
2021-11-18,90.0,85.0
2021-11-25,75.55,76.3
2021-11-26,71.5,71.5
2021-11-29,74.1,74.1
2021-11-30,75.2,74.1
2021-12-01,77.35,78.45
2021-12-02,83.9,87.2
2021-12-10,87.2,87.2
2021-12-16,85.0,85.0
2021-12-17,84.0,82.0
2022-01-04,87.2,97.55
2022-01-05,97.0,100.0
2022-01-06,96.0,100.0
2022-01-07,96.0,96.0
2022-01-10,43.6,43.6
2022-01-17,42.3,42.3
2022-01-21,41.0,41.0
2022-01-25,36.25,36.25
2022-02-03,35.95,36.25
2022-02-04,36.45,36.55
2022-02-07,36.75,36.85
2022-02-08,37.05,38.15
2022-02-09,38.2,38.25
2022-02-10,38.45,38.55
2022-02-11,38.65,38.7
2022-02-16,39.6,40.6
2022-02-17,40.9,40.95
2022-02-18,41.1,41.3
2022-02-22,39.25,39.3
2022-02-23,40.1,40.4
2022-02-24,39.0,41.1
2022-02-25,41.2,41.5
2022-02-28,41.7,42.3
2022-03-02,43.0,43.3
2022-03-03,43.6,43.5
2022-03-04,43.9,44.3
2022-03-07,42.0,42.0
