date,open,close
2021-03-10,128.8,135.2
2021-03-12,141.95,141.95
2021-03-15,149.0,149.0
2021-03-16,156.45,156.45
2021-03-17,164.25,164.25
2021-03-18,172.45,172.45
2021-03-19,181.05,181.05
2021-03-22,190.05,190.05
2021-03-23,199.55,199.55
2021-03-24,209.5,209.5
2021-03-25,230.45,230.45
2021-03-26,253.45,253.45
2021-03-30,278.75,278.75
2021-03-31,292.65,292.65
2021-04-01,307.25,307.25
2021-04-05,322.0,322.6
2021-04-06,338.7,338.7
2021-04-07,355.6,355.6
2021-04-08,373.35,337.85
2021-04-09,321.0,321.0
2021-04-12,304.95,304.95
2021-04-13,289.75,320.15
2021-04-15,307.0,303.7
2021-04-16,288.55,288.55
2021-04-19,274.55,274.55
2021-04-20,260.85,260.85
2021-04-22,250.85,273.85
2021-04-23,242.4,267.7
2021-04-26,280.95,281.05
2021-04-27,295.0,295.0
2021-04-28,294.2,295.0
2021-04-29,280.9,276.4
2021-04-30,262.6,262.6
2021-05-03,252.0,249.5
2021-05-04,237.1,237.05
2021-05-05,225.2,228.05
2021-05-06,218.6,226.2
2021-05-07,211.95,222.9
2021-05-10,215.0,226.0
2021-05-11,218.2,235.25
2021-05-12,247.0,247.0
2021-05-14,259.35,259.35
2021-05-17,271.95,272.3
2021-05-18,285.9,285.9
2021-05-19,300.15,300.15
2021-05-20,306.15,315.0
2021-05-21,329.9,309.0
2021-05-24,309.0,313.9
2021-05-25,293.0,300.05
2021-05-26,299.0,298.9
2021-05-27,290.9,281.95
2021-05-28,268.1,290.0
2021-05-31,272.45,280.15
2021-06-01,278.0,286.15
2021-06-02,286.15,293.0
2021-06-03,284.0,291.0
2021-06-04,278.0,280.25
2021-06-07,280.35,279.0
2021-06-08,292.9,273.0
2021-06-09,272.95,270.0
2021-06-10,262.25,279.0
2021-06-11,265.0,285.0
2021-06-14,289.0,284.5
2021-06-15,284.4,276.05
2021-06-16,270.25,279.95
2021-06-17,267.6,279.0
2021-06-18,280.5,280.0
2021-06-21,294.65,288.3
2021-06-22,274.05,277.0
2021-06-23,281.0,282.05
2021-06-24,295.0,279.0
2021-06-25,276.0,277.1
2021-06-28,277.0,279.0
2021-06-29,272.9,279.65
2021-06-30,269.0,269.05
2021-07-01,262.35,274.1
2021-07-02,285.0,277.55
2021-07-05,281.25,283.2
2021-07-06,283.0,302.0
2021-07-07,302.0,308.8
2021-07-08,288.1,288.0
2021-07-09,276.0,297.25
2021-07-12,296.0,285.65
2021-07-13,281.0,284.0
2021-07-14,285.0,285.0
2021-07-15,296.9,276.15
2021-07-16,282.0,281.95
2021-07-19,282.0,273.3
2021-07-20,266.6,269.9
2021-07-22,271.45,280.0
2021-07-23,283.6,273.5
2021-07-26,271.6,278.3
2021-07-27,280.0,275.15
2021-07-28,274.0,282.0
2021-07-29,273.25,279.95
2021-07-30,278.05,290.95
2021-08-02,29.04,28.89
2021-08-03,28.27,27.51
2021-08-04,27.88,26.99
2021-08-05,27.99,27.57
2021-08-06,27.02,28.9
2021-08-09,29.8,28.6
2021-08-10,29.16,31.2
2021-08-11,31.37,29.84
2021-08-12,30.49,30.1
2021-08-13,29.66,31.2
2021-08-16,31.22,31.5
2021-08-17,33.38,30.25
2021-08-18,29.72,29.5
2021-08-20,29.4,29.9
2021-08-23,30.3,29.56
2021-08-24,30.89,30.79
2021-08-25,30.22,30.0
2021-08-26,29.5,28.6
2021-08-27,27.6,28.39
2021-08-30,28.63,28.2
2021-08-31,28.79,27.9
2021-09-01,27.28,28.23
2021-09-02,29.0,28.23
2021-09-03,28.21,28.2
2021-09-06,28.7,26.0
2021-09-07,27.93,27.48
2021-09-08,27.01,27.3
2021-09-09,27.21,28.0
2021-09-13,29.89,27.9
2021-09-14,27.9,27.21
2021-09-15,27.2,27.62
2021-09-16,28.5,27.4
2021-09-17,27.05,27.4
2021-09-20,26.61,26.34
2021-09-21,26.21,26.55
2021-09-22,25.61,26.9
2021-09-23,26.61,26.8
2021-09-24,26.8,26.45
2021-09-27,27.0,28.5
2021-09-28,28.9,26.01
2021-09-29,26.13,26.9
2021-09-30,26.5,26.45
2021-10-01,27.79,28.02
2021-10-04,28.31,27.44
2021-10-05,27.89,27.35
2021-10-06,28.2,28.5
2021-10-07,29.3,34.01
2021-10-08,37.42,40.81
2021-10-11,42.4,38.7
2021-10-12,39.49,39.4
2021-10-13,39.7,40.12
2021-10-14,40.19,39.4
2021-10-18,40.8,37.99
2021-10-19,36.1,36.53
2021-10-20,34.82,38.0
2021-10-21,36.5,38.0
2021-10-22,36.42,38.0
2021-10-25,36.12,39.0
2021-10-26,36.5,40.3
2021-10-27,38.03,38.1
2021-10-28,38.4,38.3
2021-10-29,37.71,39.5
2021-11-01,36.1,36.5
2021-11-09,34.7,34.69
2021-11-12,32.96,32.96
2021-11-16,31.32,31.32
2021-11-17,29.75,29.75
2021-11-18,28.27,28.27
2021-11-22,26.86,26.86
2021-11-23,26.86,25.52
2021-11-24,25.52,25.52
2021-11-25,24.24,24.24
2021-11-26,23.04,23.09
2021-11-29,21.89,21.89
2021-11-30,20.81,20.8
2021-12-01,20.8,19.92
2021-12-02,19.03,20.01
2021-12-03,20.01,20.04
2021-12-06,20.0,19.12
2021-12-07,18.51,18.51
2021-12-08,19.44,19.44
2021-12-09,20.4,20.4
2021-12-10,20.4,21.42
2021-12-13,22.4,22.4
2021-12-14,23.5,23.5
2021-12-15,24.5,24.68
2021-12-16,25.9,25.91
2021-12-17,25.91,25.5
2021-12-20,26.5,26.5
2021-12-21,27.83,27.83
2021-12-22,27.83,29.22
2021-12-23,30.44,30.44
2021-12-24,31.05,31.96
2021-12-27,33.5,33.55
2021-12-28,35.23,35.2
2021-12-29,35.07,36.82
2021-12-30,38.66,38.66
2021-12-31,40.5,40.59
2022-01-03,38.51,39.8
2022-01-04,43.06,42.0
2022-01-05,40.11,41.0
2022-01-10,39.0,38.94
2022-01-17,37.0,37.5
2022-01-24,37.5,36.96
2022-01-31,36.96,38.8
2022-02-07,37.4,36.9
2022-02-14,36.5,36.5
2022-02-17,36.5,38.33
2022-02-18,36.5,39.1
2022-02-21,39.25,41.0
2022-02-22,41.0,42.39
2022-02-28,38.5,38.5
2022-03-07,36.6,36.6
2022-03-14,36.6,38.43
2022-03-21,36.8,40.05
2022-03-28,40.0,38.05
2022-04-04,38.05,39.95
2022-04-11,39.65,37.7
2022-04-12,39.45,39.3
2022-04-13,38.0,39.25
2022-04-18,40.05,41.2
2022-04-19,43.2,43.25
2022-04-20,44.15,45.4
2022-04-25,47.6,43.15
2022-05-02,43.15,45.25
2022-05-23,43.15,43.15
2022-05-30,41.0,43.15
2022-06-06,41.0,42.9
2022-06-13,41.8,41.8
2022-06-20,41.8,41.8
2022-06-27,39.75,39.75
2022-07-04,37.8,37.8
2022-07-11,35.95,35.95
2022-07-12,35.55,34.8
2022-07-13,34.0,34.0
2022-07-14,32.3,32.3
2022-07-15,30.7,30.7
2022-07-18,30.1,30.1
2022-07-19,28.6,28.6
2022-07-20,27.2,27.2
2022-07-21,25.85,25.85
2022-07-22,24.9,24.85
2022-07-25,23.7,23.65
2022-07-26,22.55,24.8
2022-07-27,26.0,23.6
2022-07-28,22.45,22.6
2022-07-29,22.6,21.5
2022-08-01,20.45,20.75
2022-08-02,21.0,21.75
2022-08-03,21.75,22.8
2022-08-04,23.9,23.9
2022-08-05,25.05,25.05
2022-08-08,26.3,26.3
2022-08-10,27.6,27.6
2022-08-11,28.95,26.25
2022-08-12,24.95,24.95
2022-08-16,26.0,23.75
2022-08-17,22.65,24.9
2022-08-18,26.1,25.1
2022-08-19,24.75,24.7
2022-08-22,25.8,24.8
2022-08-23,25.5,25.25
2022-08-24,25.75,24.9
2022-08-25,25.3,25.45
2022-08-26,26.0,26.7
2022-08-29,28.0,28.0
2022-08-30,29.3,29.4
2022-09-01,30.85,30.85
2022-09-02,32.35,32.35
2022-09-05,33.95,33.95
2022-09-06,35.6,35.6
2022-09-07,37.25,37.35
2022-09-08,39.2,39.2
2022-09-09,41.1,41.15
2022-09-12,43.2,43.2
2022-09-13,45.0,41.05
