date,open,close
2021-01-04,58.45,58.4
2021-01-05,59.0,61.3
2021-01-06,60.05,58.25
2021-01-07,55.35,55.4
2021-01-08,57.0,58.0
2021-01-11,58.5,59.2
2021-01-12,57.1,57.75
2021-01-13,56.05,56.45
2021-01-14,56.45,56.45
2021-01-15,55.4,53.65
2021-01-18,52.0,52.0
2021-01-19,52.5,53.95
2021-01-20,52.6,52.55
2021-01-21,52.0,52.5
2021-01-25,50.0,52.9
2021-01-27,53.0,52.5
2021-01-28,54.0,52.5
2021-01-29,52.5,52.5
2021-02-01,52.5,52.5
2021-02-02,50.6,50.5
2021-02-03,51.0,50.0
2021-02-04,51.0,52.4
2021-02-05,52.0,52.0
2021-02-08,51.0,51.5
2021-02-09,52.5,53.0
2021-02-10,52.0,52.0
2021-02-16,52.45,49.75
2021-02-17,47.6,47.3
2021-02-18,44.95,46.25
2021-02-19,45.0,44.0
2021-02-22,43.5,45.0
2021-02-23,45.0,45.0
2021-02-24,46.0,45.75
2021-02-25,44.6,44.5
2021-03-02,45.0,45.0
2021-03-04,42.8,42.75
2021-03-05,40.65,40.65
2021-03-08,40.0,39.0
2021-03-09,39.5,40.0
2021-03-12,40.8,40.8
2021-03-15,40.8,40.8
2021-03-16,41.0,41.0
2021-03-17,41.0,40.0
2021-03-18,40.0,38.4
2021-03-19,38.4,38.0
2021-03-22,39.0,38.6
2021-03-25,39.4,39.45
2021-03-26,39.0,38.0
2021-03-30,38.9,39.0
2021-04-01,39.75,39.85
2021-04-05,41.0,41.0
2021-04-06,40.15,39.0
2021-04-07,39.0,39.0
2021-04-08,39.0,39.0
2021-04-09,39.0,38.15
2021-04-12,38.0,38.0
2021-04-15,38.0,38.0
2021-04-16,38.0,39.0
2021-04-20,39.0,37.5
2021-04-23,38.95,39.35
2021-04-26,38.0,37.5
2021-04-27,37.0,36.0
2021-04-28,36.5,36.5
2021-05-04,37.95,37.85
2021-05-05,37.7,38.0
2021-05-06,37.85,37.95
2021-05-07,37.05,38.0
2021-05-10,37.5,37.0
2021-05-11,37.0,37.0
2021-05-12,37.0,36.8
2021-05-17,37.0,38.0
2021-05-18,37.5,36.3
2021-05-19,37.5,36.0
2021-05-20,36.5,36.5
2021-05-21,38.0,38.0
2021-05-24,39.9,39.9
2021-05-25,41.0,39.35
2021-05-27,39.0,37.45
2021-05-28,39.3,39.3
2021-05-31,39.8,39.8
2021-06-01,39.0,38.05
2021-06-02,37.55,39.95
