date,open,close
2021-01-05,22.75,22.75
2021-01-06,22.8,22.75
2021-01-07,22.25,22.25
2021-01-08,22.25,22.25
2021-01-13,23.35,23.35
2021-01-14,22.2,22.2
2021-01-15,23.3,23.3
2021-01-21,24.45,24.45
2021-01-25,24.0,24.0
2021-02-10,24.0,24.0
2021-02-15,23.0,23.0
2021-02-16,23.0,23.0
2021-02-23,23.0,23.0
2021-02-25,23.0,23.0
2021-02-26,22.0,22.95
2021-03-01,23.0,23.0
2021-03-02,23.95,23.95
2021-03-03,23.0,23.0
2021-03-04,23.0,23.0
2021-03-05,22.8,22.1
2021-03-09,21.0,21.0
2021-03-10,21.0,21.0
2021-03-12,21.0,21.0
2021-03-15,22.05,22.05
2021-03-16,23.15,23.15
2021-03-17,24.3,24.3
2021-03-18,25.15,25.15
2021-03-23,24.0,24.0
2021-04-05,25.2,23.0
2021-04-07,22.5,22.5
2021-04-08,22.7,22.7
2021-04-15,22.7,22.7
2021-04-26,21.6,21.6
2021-04-29,21.0,21.6
2021-05-11,21.0,21.0
2021-05-12,20.0,19.95
2021-05-21,20.9,20.9
2021-05-24,21.9,21.9
2021-05-25,22.95,22.95
2021-05-31,22.5,22.6
2021-06-01,22.6,22.6
2021-06-03,23.25,23.7
2021-06-04,24.85,24.85
2021-06-07,26.05,26.05
2021-06-08,27.35,27.35
2021-06-09,28.7,28.7
2021-06-10,30.1,30.1
2021-06-11,31.6,31.6
2021-06-14,33.15,33.15
2021-06-15,34.8,32.25
2021-06-16,33.75,32.35
2021-06-17,33.5,32.0
2021-06-18,33.0,31.0
2021-06-22,32.55,32.55
2021-06-23,34.15,32.65
2021-06-24,34.25,34.25
2021-06-25,35.3,35.95
2021-06-28,37.7,37.05
2021-06-29,37.5,37.15
2021-06-30,37.05,36.8
2021-07-01,36.65,36.85
2021-07-02,36.25,36.5
2021-07-07,37.7,38.3
2021-07-08,40.2,39.1
2021-07-09,40.1,41.05
2021-07-12,41.3,42.0
2021-07-13,43.05,44.1
2021-07-14,46.25,46.3
2021-07-15,48.5,48.6
2021-07-16,50.8,51.0
2021-07-19,51.25,51.6
2021-07-20,51.6,50.8
2021-07-22,49.5,49.8
2021-07-23,48.4,47.35
2021-07-26,45.8,45.2
2021-07-27,45.75,45.2
2021-07-28,45.25,43.5
2021-07-29,41.4,43.2
2021-07-30,43.9,42.65
2021-08-02,44.75,44.75
2021-08-03,46.95,46.95
2021-08-04,49.25,49.25
2021-08-05,50.0,50.75
2021-08-06,53.25,53.25
2021-08-09,55.9,55.9
2021-08-10,58.65,58.65
