date,open,close
2021-01-04,68.1,67.0
2021-01-05,67.0,67.0
2021-01-06,70.35,67.3
2021-01-07,67.1,67.5
2021-01-08,67.8,68.1
2021-01-11,65.55,68.9
2021-01-12,68.85,69.1
2021-01-13,69.05,69.35
2021-01-14,69.0,70.5
2021-01-15,70.0,70.5
2021-01-18,69.9,70.5
2021-01-19,70.5,70.7
2021-01-20,70.7,70.0
2021-01-21,71.0,71.0
2021-01-22,71.0,72.95
2021-01-25,73.0,74.3
2021-01-27,71.0,74.65
2021-01-28,74.0,71.0
2021-01-29,74.0,75.0
2021-02-01,72.15,75.7
2021-02-02,71.85,77.1
2021-02-03,80.95,78.1
2021-02-04,77.3,79.9
2021-02-05,79.85,78.95
2021-02-08,82.5,79.0
2021-02-09,83.5,79.35
2021-02-10,79.4,75.55
2021-02-11,79.55,78.65
2021-02-12,80.4,83.6
2021-02-15,84.7,84.7
2021-02-16,79.8,83.7
2021-02-17,85.65,79.45
2021-02-18,82.9,81.9
2021-02-19,80.0,80.15
2021-02-22,79.0,79.2
2021-02-23,83.55,82.95
2021-02-24,82.8,79.3
2021-02-25,77.75,83.45
2021-02-26,83.75,81.45
2021-03-01,83.65,79.5
2021-03-02,83.9,80.0
2021-03-03,78.05,79.85
2021-03-04,80.0,79.95
2021-03-05,79.85,82.95
2021-03-08,83.0,81.85
2021-03-09,80.95,80.95
2021-03-10,77.55,78.4
2021-03-12,80.75,78.35
2021-03-15,81.0,78.4
2021-03-16,81.6,80.0
2021-03-17,78.25,78.35
2021-03-18,78.2,80.5
2021-03-19,76.45,78.15
2021-03-22,77.75,78.0
2021-03-23,80.7,79.0
2021-03-24,80.0,79.85
2021-03-25,77.65,79.0
2021-03-26,76.45,78.95
2021-03-30,82.9,76.1
2021-03-31,74.55,80.0
2021-04-01,79.95,79.5
2021-04-05,76.0,81.35
2021-04-06,82.3,81.5
2021-04-07,81.95,82.8
2021-04-08,83.8,83.25
2021-04-09,80.65,81.8
2021-04-12,80.95,79.35
2021-04-13,79.95,76.9
2021-04-15,77.1,80.5
2021-04-16,80.75,80.0
2021-04-19,73.35,80.9
2021-04-20,80.8,81.45
2021-04-22,81.8,81.7
2021-04-23,80.0,78.25
2021-04-26,78.05,77.95
2021-04-27,73.0,73.0
2021-04-28,72.0,72.3
2021-04-29,81.95,76.8
2021-04-30,76.8,75.0
2021-05-03,75.25,76.9
2021-05-04,79.05,80.0
2021-05-05,91.85,85.35
2021-05-06,89.8,99.75
2021-05-07,95.0,92.0
2021-05-10,96.0,93.5
2021-05-11,93.5,92.7
2021-05-12,92.75,92.9
2021-05-14,95.0,92.35
2021-05-17,94.95,91.5
2021-05-18,93.05,91.1
2021-05-19,94.25,91.6
2021-05-20,90.95,90.25
2021-05-21,90.85,92.45
2021-05-24,94.0,91.45
2021-05-25,94.0,90.2
2021-05-26,91.8,92.35
2021-05-27,93.95,91.55
2021-05-28,92.25,90.05
2021-05-31,92.95,90.85
2021-06-01,90.1,89.6
2021-06-02,90.15,90.75
2021-06-03,91.95,88.0
2021-06-04,90.15,90.9
2021-06-07,89.0,89.1
2021-06-08,86.5,89.5
2021-06-09,91.8,89.35
2021-06-10,89.65,88.7
2021-06-11,89.0,89.4
2021-06-14,89.7,88.5
2021-06-15,90.5,88.8
2021-06-16,90.0,88.35
2021-06-17,89.4,88.85
2021-06-18,91.8,88.85
2021-06-21,89.95,89.8
2021-06-22,91.7,88.1
2021-06-23,89.95,89.25
2021-06-24,90.5,88.2
2021-06-25,86.1,98.85
2021-06-28,101.6,91.85
2021-06-29,93.0,92.2
2021-06-30,92.85,89.5
2021-07-01,89.55,94.05
2021-07-02,97.0,96.0
2021-07-05,98.3,94.15
2021-07-06,93.15,91.2
2021-07-07,92.6,89.65
2021-07-08,91.6,88.0
2021-07-09,90.35,88.0
2021-07-12,89.95,89.6
2021-07-13,89.8,88.5
2021-07-14,89.9,90.75
2021-07-15,91.4,90.15
2021-07-16,88.45,91.3
2021-07-19,91.15,88.8
2021-07-20,90.55,88.0
2021-07-22,89.25,95.75
2021-07-23,97.5,96.05
2021-07-26,96.1,108.5
2021-07-27,109.5,104.0
2021-07-28,105.5,102.25
2021-07-29,104.85,101.3
2021-07-30,100.1,101.85
2021-08-02,105.85,101.95
2021-08-03,100.0,98.2
2021-08-04,99.0,99.35
2021-08-05,98.2,94.6
2021-08-06,92.55,92.7
2021-08-09,92.1,88.6
2021-08-10,90.0,87.2
2021-08-11,86.0,91.05
2021-08-12,90.3,88.5
2021-08-13,89.05,90.0
2021-08-16,91.0,91.45
2021-08-17,90.95,91.1
2021-08-18,91.85,92.3
2021-08-20,90.05,90.85
2021-08-23,91.95,86.95
2021-08-24,85.0,89.0
2021-08-25,89.85,88.55
2021-08-26,90.5,85.35
2021-08-27,86.5,83.95
2021-08-30,85.0,83.0
2021-08-31,84.9,83.3
2021-09-01,85.25,84.0
2021-09-02,85.35,83.5
2021-09-03,86.0,85.95
2021-09-06,87.0,87.0
2021-09-07,87.85,84.1
2021-09-08,84.1,86.3
2021-09-09,86.1,87.0
2021-09-13,88.55,86.0
2021-09-14,85.0,86.85
2021-09-15,88.0,87.25
2021-09-16,87.9,86.2
2021-09-17,87.6,86.7
2021-09-20,87.0,84.8
2021-09-21,85.9,82.4
2021-09-22,81.5,82.7
2021-09-23,85.35,82.2
2021-09-24,84.85,84.55
2021-09-27,86.25,83.9
2021-09-28,84.65,82.95
2021-09-29,86.0,83.0
2021-09-30,82.0,84.0
2021-10-01,83.4,84.0
2021-10-04,86.1,98.5
2021-10-05,98.4,93.8
2021-10-06,93.4,89.05
2021-10-07,92.25,90.2
2021-10-08,90.15,90.35
2021-10-11,93.5,90.95
2021-10-12,90.85,90.95
2021-10-13,91.85,90.2
2021-10-14,90.2,88.4
2021-10-18,88.0,89.75
2021-10-19,91.55,89.0
2021-10-20,92.0,92.85
2021-10-21,92.0,92.0
2021-10-22,91.8,92.0
2021-10-25,93.4,91.0
2021-10-26,93.8,92.0
2021-10-27,90.0,89.2
2021-10-28,91.45,89.0
2021-10-29,89.05,89.5
2021-11-01,91.95,89.55
2021-11-02,90.05,93.85
2021-11-03,94.0,93.4
2021-11-04,96.9,98.3
2021-11-08,99.0,95.5
2021-11-09,95.05,92.95
2021-11-10,93.1,94.15
2021-11-11,93.05,94.5
2021-11-12,91.0,94.0
2021-11-15,95.0,94.0
