date,open,close
2021-01-04,69.95,65.8
2021-01-05,67.85,68.0
2021-01-06,69.0,65.1
2021-01-07,67.0,65.0
2021-01-08,64.05,65.0
2021-01-11,65.55,63.55
2021-01-12,65.45,63.1
2021-01-13,66.2,62.5
2021-01-14,62.5,62.6
2021-01-15,63.15,62.95
2021-01-18,62.05,59.85
2021-01-19,60.0,61.0
2021-01-20,62.9,57.9
2021-01-21,58.2,55.05
2021-01-22,56.1,53.15
2021-01-25,51.0,54.8
2021-01-27,54.7,54.3
2021-01-28,52.05,55.75
2021-01-29,54.3,52.5
2021-02-01,53.3,54.9
2021-02-02,56.25,52.2
2021-02-03,50.55,51.0
2021-02-04,53.25,51.0
2021-02-05,51.95,51.4
2021-02-08,52.9,51.7
2021-02-09,52.1,53.4
2021-02-10,53.5,51.25
2021-02-11,53.5,53.4
2021-02-12,53.4,50.75
2021-02-15,51.15,50.5
2021-02-16,50.55,51.0
2021-02-17,51.0,51.0
2021-02-18,52.8,49.75
2021-02-19,49.5,49.5
2021-02-22,47.7,48.45
2021-02-23,49.95,48.0
2021-02-24,49.0,49.0
2021-02-25,47.8,48.85
2021-02-26,49.25,48.8
2021-03-01,49.25,50.0
2021-03-02,51.0,50.5
2021-03-03,50.35,51.0
2021-03-04,50.95,48.5
2021-03-05,50.35,48.55
2021-03-08,50.75,48.35
2021-03-09,51.4,50.3
2021-03-10,50.25,50.0
2021-03-12,50.1,49.0
2021-03-15,50.5,46.7
2021-03-16,48.0,45.2
2021-03-17,45.5,44.5
2021-03-18,46.75,43.0
2021-03-19,44.4,44.25
2021-03-22,44.2,42.05
2021-03-23,42.35,42.5
2021-03-24,40.55,41.6
2021-03-25,43.65,42.5
2021-03-26,42.5,40.1
2021-03-30,42.05,39.55
2021-03-31,38.25,36.3
2021-04-01,36.35,35.9
2021-04-05,39.0,39.0
2021-04-06,40.1,40.1
2021-04-07,40.1,41.45
2021-04-08,42.25,42.0
2021-04-09,40.0,43.2
2021-04-12,43.2,41.25
2021-04-13,41.05,39.35
2021-04-15,40.95,40.2
2021-04-16,40.25,39.2
2021-04-19,39.35,39.0
2021-04-20,38.0,39.0
2021-04-22,40.8,40.0
2021-04-23,39.9,38.3
2021-04-26,39.0,39.5
2021-04-27,40.5,41.35
2021-04-28,41.95,43.15
2021-04-29,44.95,45.3
2021-04-30,46.95,46.65
2021-05-03,47.5,47.1
2021-05-04,47.9,46.4
2021-05-05,46.45,45.3
2021-05-06,45.0,44.8
2021-05-07,45.0,43.55
2021-05-10,43.25,43.9
2021-05-11,43.9,42.6
2021-05-12,42.65,42.75
2021-05-14,43.25,43.25
2021-05-17,45.4,45.4
2021-05-18,47.65,47.65
2021-05-19,50.0,50.0
2021-05-20,52.5,52.5
2021-05-21,54.9,51.6
2021-05-24,54.95,53.0
2021-05-25,54.0,52.45
2021-05-26,52.25,52.2
2021-05-27,49.75,50.3
2021-05-28,51.95,51.0
2021-05-31,51.65,52.8
2021-06-01,54.45,53.15
2021-06-02,54.0,53.0
2021-06-03,54.95,52.3
2021-06-04,53.45,53.95
2021-06-07,54.05,54.0
2021-06-08,56.3,52.65
2021-06-09,51.2,53.4
2021-06-10,54.25,52.0
2021-06-11,53.2,53.7
2021-06-14,53.7,53.55
2021-06-15,55.7,52.6
2021-06-16,52.9,53.0
2021-06-17,52.9,51.75
2021-06-18,50.35,51.35
2021-06-21,52.8,50.4
2021-06-22,51.8,47.65
2021-06-23,48.0,49.45
2021-06-24,51.0,50.0
2021-06-25,50.6,49.0
2021-06-28,48.7,50.0
2021-06-29,49.85,49.5
2021-06-30,50.0,50.25
2021-07-01,51.15,50.0
2021-07-02,49.55,50.0
2021-07-05,51.45,48.85
2021-07-06,50.15,51.0
2021-07-07,51.25,49.65
2021-07-08,49.65,49.65
2021-07-09,49.9,48.2
2021-07-12,47.5,46.8
2021-07-13,48.95,48.6
2021-07-14,49.7,50.0
2021-07-15,51.0,50.0
2021-07-16,49.5,49.1
2021-07-19,51.0,49.75
2021-07-20,50.3,47.95
2021-07-22,49.0,49.75
2021-07-23,51.0,48.15
2021-07-26,49.2,47.65
2021-07-27,49.8,48.0
2021-07-28,49.6,47.8
2021-07-29,47.4,47.5
2021-07-30,47.0,47.6
2021-08-02,48.9,47.0
2021-08-03,47.9,46.2
2021-08-04,48.0,46.0
2021-08-05,44.25,45.5
2021-08-06,44.3,44.0
2021-08-09,47.05,47.0
2021-08-10,48.5,47.0
2021-08-11,46.3,46.65
2021-08-12,45.0,48.0
2021-08-13,47.0,46.9
2021-08-16,47.9,46.5
2021-08-17,45.7,45.8
2021-08-18,47.95,45.4
2021-08-20,45.4,44.5
2021-08-23,46.35,43.0
2021-08-24,43.1,46.15
2021-08-25,47.1,46.85
2021-08-26,48.4,46.75
2021-08-27,45.3,43.35
2021-08-30,45.2,43.9
2021-08-31,43.5,44.05
2021-09-01,44.85,44.05
2021-09-02,45.05,44.6
2021-09-03,43.8,44.75
2021-09-06,43.45,44.95
