date,open,close
2021-01-04,57.85,57.2
2021-01-05,57.0,59.75
2021-01-06,60.55,58.75
2021-01-07,59.25,58.8
2021-01-08,59.05,58.8
2021-01-11,59.0,57.55
2021-01-12,57.9,57.25
2021-01-13,57.5,57.2
2021-01-14,57.6,57.15
2021-01-15,57.15,57.15
2021-01-18,56.7,55.9
2021-01-19,56.3,55.95
2021-01-20,56.3,56.25
2021-01-21,56.45,57.05
2021-01-22,57.0,56.05
2021-01-25,56.45,54.6
2021-01-27,54.5,53.9
2021-01-28,52.95,53.65
2021-01-29,53.95,52.85
2021-02-01,54.4,54.0
2021-02-02,54.0,53.65
2021-02-03,54.3,54.0
2021-02-04,54.2,54.6
2021-02-05,55.8,54.7
2021-02-08,54.5,54.65
2021-02-09,54.8,53.7
2021-02-10,53.7,53.05
2021-02-11,53.2,52.7
2021-02-12,53.15,52.4
2021-02-15,52.9,54.45
2021-02-16,54.6,53.75
2021-02-17,53.3,53.6
2021-02-18,53.5,53.55
2021-02-19,53.25,52.95
2021-02-22,53.3,52.5
2021-02-23,53.0,52.75
2021-02-24,52.75,53.2
2021-02-25,55.0,53.75
2021-02-26,52.6,53.15
2021-03-01,53.55,53.5
2021-03-02,53.5,53.7
2021-03-03,53.85,54.0
2021-03-04,53.95,55.8
2021-03-05,55.15,55.2
2021-03-08,56.1,55.25
2021-03-09,55.9,54.4
2021-03-10,55.7,54.0
2021-03-12,54.2,53.65
2021-03-15,53.75,53.0
2021-03-16,53.0,53.75
2021-03-17,53.6,56.35
2021-03-18,58.5,56.45
2021-03-19,56.9,54.95
2021-03-22,55.15,55.9
2021-03-23,56.1,55.9
2021-03-24,55.7,54.45
2021-03-25,55.0,53.2
2021-03-26,54.2,53.95
2021-03-30,54.95,54.15
2021-03-31,54.85,53.8
2021-04-01,54.0,56.0
2021-04-05,57.7,59.3
2021-04-06,59.35,58.85
2021-04-07,59.0,57.4
2021-04-08,57.85,56.5
2021-04-09,58.3,58.5
2021-04-12,58.85,54.6
2021-04-13,55.05,55.6
2021-04-15,56.1,56.3
2021-04-16,56.95,55.35
2021-04-19,55.25,54.6
2021-04-20,54.95,56.75
2021-04-22,56.8,58.2
