date,open,close
2021-01-04,61.15,60.5
2021-01-05,59.95,61.6
2021-01-06,62.0,60.15
2021-01-07,60.5,64.65
2021-01-08,64.55,63.4
2021-01-11,63.75,66.85
2021-01-12,65.5,66.05
2021-01-13,66.05,66.0
2021-01-14,66.5,63.85
2021-01-15,64.15,63.85
2021-01-18,63.5,61.8
2021-01-19,62.45,64.25
2021-01-20,64.95,63.15
2021-01-21,63.7,62.85
2021-01-22,62.15,61.15
2021-01-25,61.35,60.0
2021-01-27,61.8,59.6
2021-01-28,59.65,61.1
2021-01-29,61.85,61.5
2021-02-01,62.4,64.4
2021-02-02,65.05,66.5
2021-02-03,66.45,68.05
2021-02-04,68.3,68.0
2021-02-05,68.65,70.5
2021-02-08,73.0,70.3
2021-02-09,70.95,69.15
2021-02-10,69.85,70.2
2021-02-11,69.6,69.9
2021-02-12,70.45,68.2
2021-02-15,68.9,70.7
2021-02-16,71.0,69.85
2021-02-17,69.25,70.45
2021-02-18,70.7,69.9
2021-02-19,69.8,66.7
2021-02-22,67.4,65.95
2021-02-23,65.8,67.6
2021-02-24,68.2,67.9
2021-02-25,69.0,67.7
2021-02-26,65.6,69.45
2021-03-01,70.0,68.25
2021-03-02,68.75,68.9
2021-03-03,69.7,70.45
2021-03-04,70.0,74.05
2021-03-05,74.6,70.0
2021-03-08,70.55,69.9
2021-03-09,70.45,68.95
2021-03-10,69.5,69.95
2021-03-12,70.5,71.35
2021-03-15,71.6,71.85
2021-03-16,72.1,72.25
2021-03-17,72.3,70.15
2021-03-18,70.5,67.3
2021-03-19,67.0,69.35
2021-03-22,69.2,69.45
2021-03-23,69.35,70.1
2021-03-24,68.8,70.45
2021-03-25,71.0,67.95
2021-03-26,68.0,68.7
2021-03-30,69.1,67.0
2021-03-31,67.4,67.7
2021-04-01,68.4,69.0
2021-04-05,68.95,68.35
2021-04-06,68.45,70.2
2021-04-07,70.45,71.0
2021-04-08,71.6,72.0
2021-04-09,71.5,72.0
2021-04-12,70.5,67.6
2021-04-13,67.75,68.0
2021-04-15,68.75,66.0
2021-04-16,66.05,64.85
2021-04-19,63.85,61.35
2021-04-20,62.2,66.5
2021-04-22,66.5,65.45
2021-04-23,65.45,66.0
2021-04-26,65.35,66.0
2021-04-27,66.3,67.0
2021-04-28,69.7,69.5
2021-04-29,69.65,68.5
2021-04-30,67.3,68.55
2021-05-03,66.05,71.05
2021-05-04,72.2,71.0
2021-05-05,71.05,70.5
2021-05-06,70.0,70.95
2021-05-07,74.0,70.75
2021-05-10,71.0,71.0
2021-05-11,70.0,69.9
2021-05-12,69.5,69.7
2021-05-14,69.7,68.55
2021-05-17,68.6,68.7
2021-05-18,69.1,69.1
2021-05-19,69.3,72.2
2021-05-20,72.8,70.2
2021-05-21,70.7,77.85
