date,open,close
2021-01-04,23.45,24.8
2021-01-05,24.8,24.7
2021-01-06,24.7,23.95
2021-01-07,24.5,23.75
2021-01-08,24.25,23.4
2021-01-11,23.95,22.85
2021-01-12,22.25,23.35
2021-01-13,23.85,24.0
2021-01-14,24.9,23.9
2021-01-15,23.7,23.5
2021-01-18,23.0,22.95
2021-01-19,23.5,23.25
2021-01-20,23.1,22.8
2021-01-21,23.05,23.0
2021-01-22,23.45,22.7
2021-01-25,23.5,22.5
2021-01-27,22.15,22.8
2021-01-28,22.6,23.85
2021-01-29,25.0,23.35
2021-02-01,23.05,23.05
2021-02-02,23.45,23.2
2021-02-03,23.75,24.0
2021-02-04,24.15,24.2
2021-02-05,24.3,23.15
2021-02-08,23.5,23.7
2021-02-09,23.55,23.6
2021-02-10,23.6,23.75
2021-02-11,24.1,24.15
2021-02-12,23.75,24.05
2021-02-15,24.55,23.85
2021-02-16,23.85,23.8
2021-02-17,24.15,23.7
2021-02-18,23.75,24.2
2021-02-19,24.5,24.2
2021-02-22,24.7,22.85
2021-02-23,23.2,23.15
2021-02-24,23.6,23.85
2021-02-25,24.45,24.6
2021-02-26,24.3,24.5
2021-03-01,25.3,29.6
2021-03-02,31.5,28.05
2021-03-03,28.05,27.45
2021-03-04,28.3,26.85
2021-03-05,26.45,27.15
2021-03-08,27.3,27.35
2021-03-09,27.35,26.95
2021-03-10,27.0,27.45
2021-03-12,27.55,27.55
2021-03-15,27.2,27.0
2021-03-16,27.55,27.0
2021-03-17,27.05,28.0
2021-03-18,29.0,26.6
2021-03-19,27.7,25.8
2021-03-22,25.65,26.8
2021-03-23,26.8,27.2
2021-03-24,27.25,27.45
2021-03-25,27.45,26.0
2021-03-26,26.65,25.85
2021-03-30,26.35,26.3
2021-03-31,26.3,26.05
2021-04-01,27.35,27.1
2021-04-05,26.65,25.7
2021-04-06,25.5,25.7
2021-04-07,25.95,26.15
2021-04-08,26.05,26.5
2021-04-09,26.6,26.8
2021-04-12,26.65,24.9
2021-04-13,25.05,25.45
2021-04-15,25.6,25.15
2021-04-16,25.3,25.6
2021-04-19,25.0,24.9
2021-04-20,25.25,24.65
2021-04-22,23.75,24.4
2021-04-23,24.4,29.25
2021-04-26,32.0,27.65
2021-04-27,28.05,29.55
2021-04-28,30.75,28.9
2021-04-29,29.95,28.6
2021-04-30,28.65,28.5
2021-05-03,28.9,29.55
2021-05-04,30.7,28.65
2021-05-05,29.8,28.9
2021-05-06,29.9,28.5
2021-05-07,28.95,29.0
2021-05-10,30.8,30.3
2021-05-11,31.1,32.9
2021-05-12,33.85,32.55
2021-05-14,32.45,38.75
2021-05-17,42.25,46.5
2021-05-18,49.0,46.0
2021-05-19,46.0,43.6
2021-05-20,43.85,42.4
2021-05-21,42.0,42.3
2021-05-24,43.0,42.1
2021-05-25,41.0,39.7
2021-05-26,39.85,41.75
2021-05-27,42.4,40.6
2021-05-28,41.4,39.95
2021-05-31,38.4,39.0
2021-06-01,38.0,38.45
2021-06-02,38.1,39.85
2021-06-03,40.5,39.5
2021-06-04,39.8,39.3
2021-06-07,39.9,41.0
2021-06-08,42.3,41.65
2021-06-09,41.75,41.95
2021-06-10,42.7,42.65
2021-06-11,42.8,42.75
2021-06-14,43.3,41.3
2021-06-15,41.5,41.75
2021-06-16,41.55,40.6
2021-06-17,40.55,41.8
2021-06-18,42.65,40.65
2021-06-21,39.85,40.7
2021-06-22,40.55,40.95
2021-06-23,41.6,40.45
2021-06-24,40.8,40.8
2021-06-25,40.7,40.65
2021-06-28,41.8,40.5
2021-06-29,41.05,40.3
2021-06-30,41.25,40.65
2021-07-01,41.4,40.55
2021-07-02,40.6,40.0
2021-07-05,39.75,44.15
2021-07-06,45.0,43.0
2021-07-07,43.2,41.95
2021-07-08,41.2,42.25
2021-07-09,42.55,43.75
2021-07-12,44.1,43.55
2021-07-13,44.0,44.05
2021-07-14,43.65,42.85
2021-07-15,42.4,41.6
2021-07-16,41.55,42.7
2021-07-19,42.0,42.05
2021-07-20,41.7,41.75
2021-07-22,41.75,41.9
2021-07-23,42.5,42.2
2021-07-26,42.8,44.4
2021-07-27,45.6,42.75
2021-07-28,42.85,41.85
2021-07-29,42.95,43.3
2021-07-30,45.4,46.0
2021-08-02,47.25,55.2
2021-08-03,60.0,62.0
2021-08-04,64.4,58.7
2021-08-05,60.05,56.95
2021-08-06,57.1,58.5
2021-08-09,59.5,57.25
2021-08-10,57.7,51.7
2021-08-11,51.65,54.45
2021-08-12,56.45,56.2
2021-08-13,56.4,54.0
2021-08-16,54.05,52.6
2021-08-17,52.35,52.25
2021-08-18,52.8,50.9
2021-08-20,49.25,48.65
2021-08-23,48.5,44.5
2021-08-24,46.0,48.95
2021-08-25,50.8,49.15
2021-08-26,49.65,48.45
2021-08-27,48.15,51.0
2021-08-30,52.0,51.8
2021-08-31,52.7,56.85
2021-09-01,59.0,59.2
2021-09-02,60.0,59.0
2021-09-03,58.5,57.75
2021-09-06,57.5,56.0
2021-09-07,55.55,54.7
2021-09-08,55.4,54.85
2021-09-09,54.85,55.15
2021-09-13,56.3,53.5
2021-09-14,53.5,53.9
2021-09-15,53.8,54.9
2021-09-16,55.35,54.75
2021-09-17,55.4,53.5
2021-09-20,53.0,52.3
2021-09-21,51.4,51.95
2021-09-22,51.85,54.85
2021-09-23,55.6,53.2
2021-09-24,53.1,52.65
2021-09-27,52.65,52.0
2021-09-28,52.5,52.25
2021-09-29,52.0,53.1
2021-09-30,53.85,52.1
2021-10-01,52.0,51.95
2021-10-04,52.9,52.35
2021-10-05,52.65,55.0
2021-10-06,55.45,54.05
2021-10-07,55.0,53.8
2021-10-08,53.85,53.4
2021-10-11,54.35,52.75
2021-10-12,53.6,53.15
2021-10-13,53.7,52.95
2021-10-14,52.8,52.45
2021-10-18,52.5,51.9
2021-10-19,52.35,50.45
2021-10-20,50.7,50.0
2021-10-21,50.0,51.45
2021-10-22,51.3,49.95
2021-10-25,49.85,48.1
2021-10-26,48.8,48.7
2021-10-27,49.8,49.5
2021-10-28,49.25,48.45
2021-10-29,48.75,47.0
2021-11-01,47.4,48.35
2021-11-02,48.7,48.7
2021-11-03,48.9,47.7
2021-11-04,47.0,48.5
2021-11-08,48.8,50.9
2021-11-09,52.9,52.8
2021-11-10,55.0,54.25
2021-11-11,53.0,56.0
2021-11-12,57.15,57.85
2021-11-15,59.7,56.75
2021-11-16,57.4,56.35
2021-11-17,56.9,54.5
2021-11-18,55.35,54.4
2021-11-22,55.2,54.4
2021-11-23,53.95,53.65
2021-11-24,54.0,53.1
2021-11-25,54.7,56.55
2021-11-26,55.35,53.0
2021-11-29,53.1,52.0
2021-11-30,51.1,52.65
2021-12-01,51.5,52.3
2021-12-02,52.75,52.45
2021-12-03,52.35,52.45
2021-12-06,52.4,53.0
2021-12-07,54.65,54.95
2021-12-08,55.65,56.1
2021-12-09,56.9,55.5
2021-12-10,56.0,56.0
2021-12-13,57.1,55.55
2021-12-14,55.45,54.95
2021-12-15,54.95,54.0
2021-12-16,55.7,58.65
2021-12-17,59.45,56.6
2021-12-20,56.8,54.7
2021-12-21,54.5,55.5
2021-12-22,56.15,57.6
2021-12-23,59.35,66.4
2021-12-24,69.0,69.0
2021-12-27,68.75,70.6
2021-12-28,70.9,67.1
2021-12-29,67.0,65.5
2021-12-30,65.55,63.95
2021-12-31,64.4,63.95
2022-01-03,65.2,71.0
2022-01-04,71.45,67.85
2022-01-05,68.55,66.3
2022-01-06,65.8,74.0
2022-01-07,75.5,71.0
2022-01-10,72.3,74.4
2022-01-11,76.85,73.8
2022-01-12,74.9,72.0
2022-01-13,73.2,78.9
2022-01-14,79.55,91.8
2022-01-17,93.5,106.2
2022-01-18,109.0,116.5
2022-01-19,117.0,114.5
2022-01-20,117.0,111.9
2022-01-21,110.0,104.5
2022-01-24,102.65,94.25
2022-01-25,89.55,103.65
2022-01-27,102.8,108.85
2022-01-28,114.0,105.2
2022-01-31,108.8,100.0
2022-02-01,101.8,100.3
2022-02-02,100.9,100.3
2022-02-03,101.0,99.0
2022-02-04,99.0,97.8
2022-02-07,97.25,100.0
2022-02-08,101.25,95.8
2022-02-09,97.35,94.55
2022-02-10,95.0,94.1
2022-02-11,93.8,92.35
2022-02-14,87.0,88.45
2022-02-15,87.25,89.0
2022-02-16,91.0,92.55
2022-02-17,93.45,89.75
2022-02-18,88.3,85.95
2022-02-21,85.0,84.1
2022-02-22,79.1,81.85
2022-02-23,84.3,84.0
2022-02-24,75.0,77.6
2022-02-25,78.0,81.45
2022-02-28,81.0,87.45
2022-03-02,86.4,86.55
2022-03-03,88.8,88.4
2022-03-04,88.7,85.5
2022-03-07,85.3,83.75
2022-03-08,82.0,92.8
2022-03-09,94.75,98.4
2022-03-10,101.5,94.25
2022-03-11,94.0,93.8
2022-03-14,95.0,99.05
2022-03-15,101.2,96.0
2022-03-16,99.0,97.0
2022-03-17,98.0,98.5
2022-03-21,100.0,96.95
2022-03-22,96.5,97.45
2022-03-23,98.0,95.45
2022-03-24,95.9,96.6
2022-03-25,97.0,95.2
2022-03-28,95.6,91.0
