date,open,close
2021-01-04,0.95,1.0
2021-01-05,1.0,1.05
2021-01-06,1.1,1.0
2021-01-07,1.0,1.0
2021-01-08,1.0,1.0
2021-01-11,1.05,1.0
2021-01-12,1.0,1.0
2021-01-13,1.0,0.95
2021-01-14,0.9,0.95
2021-01-15,0.95,0.95
2021-01-18,0.95,0.9
2021-01-19,0.9,0.9
2021-01-20,0.9,0.9
2021-01-21,0.9,0.9
2021-01-22,0.95,0.9
2021-01-25,0.95,0.9
2021-01-27,0.9,0.85
2021-01-28,0.8,0.85
2021-01-29,0.9,0.9
2021-02-01,0.9,0.9
2021-02-02,0.9,0.9
2021-02-03,0.95,0.95
2021-02-04,0.95,1.0
2021-02-05,1.0,1.0
2021-02-08,1.05,1.0
2021-02-09,1.0,1.0
2021-02-10,1.0,1.0
2021-02-11,1.0,0.95
2021-02-12,1.0,0.95
2021-02-15,1.0,1.0
2021-02-16,0.95,0.95
2021-02-17,0.95,0.9
2021-02-18,0.95,0.9
2021-02-19,0.95,0.95
2021-02-22,0.95,0.95
2021-02-23,0.95,0.95
2021-02-24,0.95,0.95
2021-02-25,0.95,0.95
2021-02-26,1.0,1.0
2021-03-01,1.0,1.05
2021-03-02,1.05,1.15
2021-03-03,1.15,1.25
2021-03-04,1.3,1.3
2021-03-05,1.3,1.35
2021-03-08,1.3,1.4
2021-03-09,1.45,1.35
2021-03-10,1.3,1.3
2021-03-12,1.3,1.25
2021-03-15,1.3,1.2
2021-03-16,1.2,1.25
2021-03-17,1.3,1.3
2021-03-18,1.35,1.3
2021-03-19,1.3,1.3
2021-03-22,1.3,1.3
2021-03-23,1.25,1.25
2021-03-24,1.3,1.25
2021-03-25,1.2,1.2
2021-03-26,1.15,1.1
2021-03-30,1.1,1.15
2021-03-31,1.15,1.15
2021-04-01,1.1,1.15
2021-04-05,1.15,1.2
2021-04-06,1.2,1.2
2021-04-07,1.15,1.15
2021-04-08,1.15,1.2
2021-04-09,1.15,1.2
2021-04-12,1.15,1.15
2021-04-13,1.1,1.2
2021-04-15,1.15,1.2
2021-04-16,1.15,1.15
2021-04-19,1.15,1.1
2021-04-20,1.1,1.1
2021-04-22,1.15,1.15
