date,open,close
2021-01-04,9.1,9.1
2021-01-05,9.55,8.65
2021-01-06,8.25,8.25
2021-01-07,7.85,8.15
2021-01-08,8.35,7.75
2021-01-11,7.85,7.4
2021-01-12,7.6,7.15
2021-01-13,7.1,7.5
2021-01-14,7.8,7.85
2021-01-15,8.2,8.15
2021-01-18,8.05,8.1
2021-01-19,8.2,8.1
2021-01-20,8.3,7.75
2021-01-21,7.75,7.4
2021-01-22,7.25,7.05
2021-01-25,7.05,7.1
2021-01-27,7.2,6.85
2021-01-28,6.85,7.0
2021-01-29,7.15,7.1
2021-02-01,7.2,7.15
2021-02-02,7.15,7.1
2021-02-03,7.1,7.0
2021-02-04,6.95,7.3
2021-02-05,7.35,7.1
2021-02-08,7.45,7.4
2021-02-09,7.5,7.1
2021-02-10,7.1,7.65
2021-02-11,7.5,8.1
2021-02-12,7.9,7.75
2021-02-15,8.15,7.6
2021-02-16,7.65,7.6
2021-02-17,7.6,7.6
2021-02-18,7.85,7.65
2021-02-19,7.9,7.8
2021-02-22,7.95,7.8
2021-02-23,7.85,7.7
2021-02-24,7.75,7.8
2021-02-25,7.8,8.0
2021-02-26,7.95,7.6
2021-03-01,7.65,7.6
2021-03-02,7.95,7.9
2021-03-03,8.05,8.65
2021-03-04,8.75,9.5
2021-03-05,9.75,10.35
2021-03-08,10.7,9.85
2021-03-09,9.4,9.4
2021-03-10,8.95,8.95
2021-03-12,8.55,8.6
2021-03-15,8.8,9.0
2021-03-16,9.45,9.45
2021-03-17,9.8,9.55
2021-03-18,9.75,9.1
2021-03-19,8.75,9.0
2021-03-22,9.4,8.95
2021-03-23,9.0,8.85
2021-03-24,8.8,8.45
2021-03-25,8.4,8.05
2021-03-26,7.9,7.85
2021-03-30,8.05,8.2
2021-03-31,8.45,8.25
2021-04-01,8.4,8.15
2021-04-05,8.55,8.25
2021-04-06,8.25,8.05
2021-04-07,8.1,8.4
2021-04-08,8.45,8.2
2021-04-09,8.2,8.05
2021-04-12,7.9,7.6
2021-04-13,7.6,7.85
2021-04-15,7.9,7.7
2021-04-16,7.85,8.0
2021-04-19,7.7,7.6
2021-04-20,7.75,7.7
2021-04-22,7.75,7.7
2021-04-23,7.7,7.65
2021-04-26,7.7,7.7
2021-04-27,7.7,7.85
2021-04-28,7.9,7.85
2021-04-29,7.95,7.75
2021-04-30,7.75,7.65
2021-05-03,7.6,7.6
2021-05-04,7.65,7.5
2021-05-05,7.6,7.45
2021-05-06,7.55,7.8
2021-05-07,7.85,8.15
2021-05-10,8.45,8.55
2021-05-11,8.45,8.7
2021-05-12,8.7,8.45
2021-05-14,8.6,8.45
2021-05-17,8.65,8.45
2021-05-18,8.6,8.35
2021-05-19,8.4,8.25
2021-05-20,8.15,8.4
2021-05-21,8.45,8.35
2021-05-24,8.5,8.2
2021-05-25,8.3,8.15
2021-05-26,8.15,8.15
2021-05-27,8.2,8.35
2021-05-28,8.5,8.35
2021-05-31,8.4,8.4
2021-06-01,8.55,8.8
2021-06-02,8.85,9.15
2021-06-03,9.6,9.6
2021-06-04,10.05,10.05
2021-06-07,11.05,11.05
2021-06-08,12.15,12.15
2021-06-09,13.35,13.35
2021-06-10,14.0,14.0
2021-06-11,14.7,13.3
2021-06-14,12.65,12.65
2021-06-15,12.15,13.25
2021-06-16,13.9,13.9
2021-06-17,13.9,14.55
2021-06-18,15.15,15.25
