date,open,close
2021-01-04,34.9,34.2
2021-01-05,34.2,33.95
2021-01-06,34.35,35.55
2021-01-07,37.8,36.2
2021-01-08,36.7,35.4
2021-01-11,35.4,34.75
2021-01-12,34.85,34.85
2021-01-13,35.3,34.8
2021-01-14,35.0,36.65
2021-01-15,36.5,35.4
2021-01-18,35.4,34.3
2021-01-19,34.95,34.95
2021-01-20,34.95,36.5
2021-01-21,36.45,35.45
2021-01-22,35.0,34.9
2021-01-25,35.25,34.95
2021-01-27,35.4,34.85
2021-01-28,34.5,34.5
2021-01-29,34.75,34.4
2021-02-01,35.0,36.1
2021-02-02,36.2,37.35
2021-02-03,37.5,36.65
2021-02-04,36.85,36.75
2021-02-05,37.0,37.0
2021-02-08,37.15,38.05
2021-02-09,38.2,37.75
2021-02-10,38.0,38.9
2021-02-11,38.95,38.25
2021-02-12,38.25,37.2
2021-02-15,37.3,36.95
2021-02-16,37.45,37.55
2021-02-17,37.55,37.0
2021-02-18,36.7,36.7
2021-02-19,36.7,36.3
2021-02-22,36.55,36.05
2021-02-23,36.3,35.5
2021-02-24,35.65,35.95
2021-02-25,36.45,36.6
2021-02-26,36.1,35.3
2021-03-01,35.8,35.6
2021-03-02,35.9,36.0
2021-03-03,37.5,37.95
2021-03-04,37.1,40.95
2021-03-05,40.45,41.5
2021-03-08,42.1,43.1
2021-03-09,43.5,43.65
2021-03-10,44.0,44.85
2021-03-12,45.3,45.1
2021-03-15,45.55,43.75
2021-03-16,43.6,44.05
2021-03-17,46.0,42.05
2021-03-18,43.0,40.6
2021-03-19,40.0,40.1
2021-03-22,40.1,41.85
2021-03-23,42.15,40.85
2021-03-24,41.0,39.8
2021-03-25,39.1,38.6
2021-03-26,39.25,38.8
2021-03-30,39.6,40.7
2021-03-31,41.0,41.75
2021-04-01,41.75,41.55
2021-04-05,41.5,40.7
2021-04-06,40.85,41.55
2021-04-07,42.0,40.85
2021-04-08,41.1,41.2
2021-04-09,41.55,40.15
2021-04-12,39.3,37.75
2021-04-13,38.1,38.65
2021-04-15,39.65,39.35
2021-04-16,39.9,39.0
2021-04-19,38.0,36.55
2021-04-20,37.3,35.7
2021-04-22,35.8,36.55
2021-04-23,36.45,39.0
2021-04-26,39.75,39.1
2021-04-27,39.65,39.0
2021-04-28,39.45,38.7
2021-04-29,38.85,38.9
2021-04-30,38.75,38.7
2021-05-03,38.7,38.8
2021-05-04,39.2,38.4
2021-05-05,38.55,38.8
2021-05-06,39.4,38.85
2021-05-07,39.1,39.05
2021-05-10,40.5,40.0
2021-05-11,39.6,40.4
2021-05-12,41.0,40.0
2021-05-14,40.65,40.2
2021-05-17,41.0,40.85
2021-05-18,41.0,40.75
2021-05-19,40.85,42.0
2021-05-20,44.8,43.15
2021-05-21,43.5,42.85
2021-05-24,42.75,42.0
2021-05-25,42.7,42.15
2021-05-26,42.25,46.75
2021-05-27,47.0,47.85
2021-05-28,48.2,47.55
2021-05-31,48.0,50.05
2021-06-01,50.2,50.3
2021-06-02,50.15,52.0
2021-06-03,52.35,54.3
2021-06-04,54.7,55.5
2021-06-07,55.95,57.05
2021-06-08,57.2,57.55
2021-06-09,58.3,56.0
2021-06-10,55.9,59.2
2021-06-11,59.95,59.75
2021-06-14,59.85,60.7
2021-06-15,60.75,59.95
2021-06-16,60.0,57.5
2021-06-17,56.3,57.2
2021-06-18,57.95,57.5
2021-06-21,56.8,58.0
2021-06-22,58.7,58.4
2021-06-23,57.5,57.75
2021-06-24,58.65,57.9
2021-06-25,58.3,58.85
2021-06-28,59.45,58.95
2021-06-29,59.0,58.05
2021-06-30,58.4,57.85
2021-07-01,58.2,58.4
2021-07-02,58.5,58.45
2021-07-05,58.85,62.3
2021-07-06,64.5,62.6
2021-07-07,62.7,62.25
2021-07-08,62.5,60.65
2021-07-09,60.0,60.25
2021-07-12,59.45,61.0
2021-07-13,61.75,59.9
2021-07-14,60.0,59.4
2021-07-15,59.9,57.55
2021-07-16,58.45,60.9
2021-07-19,59.75,62.5
2021-07-20,62.8,61.15
2021-07-22,62.0,65.45
2021-07-23,65.4,65.95
2021-07-26,65.5,68.4
2021-07-27,68.95,66.5
2021-07-28,66.4,66.2
2021-07-29,65.65,67.5
2021-07-30,67.0,65.15
2021-08-02,65.5,66.3
2021-08-03,66.4,64.9
2021-08-04,64.95,65.3
2021-08-05,65.7,66.05
2021-08-06,65.65,68.5
2021-08-09,69.4,72.0
2021-08-10,72.25,68.55
2021-08-11,67.2,67.15
2021-08-12,66.1,69.9
2021-08-13,70.5,67.5
2021-08-16,66.9,67.5
2021-08-17,67.95,66.55
2021-08-18,67.35,65.8
2021-08-20,65.45,65.4
2021-08-23,65.5,67.1
2021-08-24,67.0,66.2
2021-08-25,67.0,67.3
2021-08-26,67.0,67.5
2021-08-27,68.05,65.8
2021-08-30,66.0,68.05
2021-08-31,68.9,67.35
2021-09-01,66.3,70.55
2021-09-02,70.8,70.1
2021-09-03,69.0,70.0
2021-09-06,69.5,70.4
2021-09-07,70.8,70.15
2021-09-08,70.1,70.2
2021-09-09,70.25,74.2
2021-09-13,74.9,76.65
2021-09-14,78.45,86.75
2021-09-15,87.0,84.15
2021-09-16,85.45,83.8
2021-09-17,84.0,81.9
2021-09-20,81.2,81.85
2021-09-21,82.0,83.05
2021-09-22,84.25,89.95
2021-09-23,90.7,90.8
2021-09-24,92.3,99.0
2021-09-27,100.0,103.25
2021-09-28,104.4,101.6
2021-09-29,101.45,108.25
2021-09-30,109.2,109.9
2021-10-01,108.9,109.8
2021-10-04,110.35,112.0
2021-10-05,112.1,108.7
2021-10-06,109.0,104.35
2021-10-07,105.2,104.45
2021-10-08,103.5,104.75
2021-10-11,106.5,107.1
2021-10-12,107.7,107.65
2021-10-13,106.7,109.0
2021-10-14,109.45,110.3
2021-10-18,112.2,113.8
2021-10-19,115.4,108.0
2021-10-20,108.7,107.05
2021-10-21,106.7,110.3
2021-10-22,111.65,111.0
2021-10-25,112.65,111.55
2021-10-26,111.7,125.0
2021-10-27,123.0,124.8
2021-10-28,124.8,122.55
2021-10-29,122.45,123.5
2021-11-01,123.0,128.05
2021-11-02,131.6,126.05
2021-11-03,129.0,128.45
2021-11-04,131.2,130.7
2021-11-08,134.0,138.75
2021-11-09,139.0,142.6
2021-11-10,142.6,142.2
2021-11-11,142.2,144.35
2021-11-12,145.0,135.2
2021-11-15,137.7,130.8
2021-11-16,131.6,134.3
2021-11-17,96.85,104.5
2021-11-18,105.0,99.2
2021-11-22,99.1,94.05
2021-11-23,90.3,94.95
2021-11-24,96.0,94.1
2021-11-25,96.0,101.3
2021-11-26,100.5,93.3
2021-11-29,90.0,89.0
2021-11-30,88.5,88.35
2021-12-01,90.3,87.05
2021-12-02,87.6,88.5
2021-12-03,88.9,89.7
2021-12-06,89.75,88.75
2021-12-07,90.0,89.4
2021-12-08,91.35,91.95
2021-12-09,92.0,92.8
2021-12-10,91.9,95.5
2021-12-13,96.25,95.0
2021-12-14,90.0,95.0
2021-12-15,95.5,93.6
2021-12-16,94.1,93.0
2021-12-17,93.0,93.1
2021-12-20,91.6,88.25
2021-12-21,87.45,89.7
2021-12-22,91.4,93.85
2021-12-23,94.7,94.45
2021-12-24,95.3,97.0
2021-12-27,97.1,96.85
2021-12-28,96.5,98.85
2021-12-29,98.85,100.65
2021-12-30,100.9,101.45
2021-12-31,101.8,101.9
2022-01-03,102.9,103.55
2022-01-04,104.9,109.0
2022-01-05,110.1,110.5
2022-01-06,109.9,110.95
2022-01-07,112.4,117.9
2022-01-10,120.0,128.55
2022-01-11,129.6,126.8
