date,open,close
2021-01-04,52.6,52.5
2021-01-05,52.45,51.0
2021-01-06,52.75,51.95
2021-01-07,52.4,51.35
2021-01-08,49.85,49.5
2021-01-11,49.35,49.45
2021-01-12,48.35,49.9
2021-01-13,50.75,49.35
2021-01-14,48.8,49.0
2021-01-15,49.0,48.15
2021-01-18,49.45,48.0
2021-01-19,47.0,48.05
2021-01-20,48.05,48.3
2021-01-21,47.8,48.15
2021-01-22,47.7,48.0
2021-01-25,47.7,47.6
2021-01-27,47.3,46.4
2021-01-28,46.7,47.0
2021-01-29,46.25,46.7
2021-02-01,47.75,47.15
2021-02-02,48.8,47.8
2021-02-03,48.4,47.75
2021-02-04,48.0,47.0
2021-02-05,47.95,47.15
2021-02-08,50.75,46.75
2021-02-09,47.2,46.55
2021-02-10,47.0,46.5
2021-02-11,48.8,46.8
2021-02-12,47.05,45.15
2021-02-15,45.2,42.3
2021-02-16,43.75,43.45
2021-02-17,42.75,43.4
2021-02-18,44.0,42.6
2021-02-19,42.95,42.0
2021-02-22,41.65,41.9
2021-02-23,43.8,41.65
2021-02-24,43.45,43.4
2021-02-25,42.15,42.9
2021-02-26,42.8,42.25
2021-03-01,43.4,41.0
2021-03-02,41.75,41.45
2021-03-03,42.9,41.5
2021-03-04,42.15,44.8
2021-03-05,46.75,44.6
2021-03-08,46.2,45.25
2021-03-09,45.9,43.3
2021-03-10,45.7,44.0
2021-03-12,45.8,44.0
2021-03-15,44.5,43.3
2021-03-16,43.5,42.4
2021-03-17,43.2,39.65
2021-03-18,40.95,40.95
2021-03-19,41.7,41.4
2021-03-22,41.75,41.0
2021-03-23,41.95,41.0
2021-03-24,41.05,40.8
2021-03-25,41.75,39.5
2021-03-26,40.0,40.3
2021-03-30,40.3,38.8
2021-03-31,39.9,41.0
2021-04-01,41.6,40.65
2021-04-05,40.7,41.0
2021-04-06,41.75,41.3
2021-04-07,40.5,41.5
2021-04-08,41.9,43.0
2021-04-09,42.55,43.0
2021-04-12,43.05,40.5
2021-04-13,41.05,40.15
2021-04-15,40.15,39.35
2021-04-16,39.25,39.9
2021-04-19,39.2,40.1
2021-04-20,39.8,40.5
