date,open,close
2022-03-28,65.2,61.95
2022-03-29,58.9,58.9
2022-03-30,56.0,61.5
2022-03-31,60.5,64.6
2022-04-01,63.85,65.95
2022-04-04,66.4,66.1
2022-04-05,66.0,67.35
2022-04-06,67.05,68.3
2022-04-07,68.95,67.75
2022-04-08,68.0,70.85
2022-04-11,72.5,73.3
2022-04-12,72.95,69.6
2022-04-13,69.5,73.5
2022-04-18,72.0,69.0
2022-04-19,69.25,64.5
2022-04-20,65.75,66.65
2022-04-21,66.7,68.85
2022-04-22,68.4,71.1
2022-04-25,69.55,70.1
2022-04-26,71.4,74.6
2022-04-27,73.5,72.0
2022-04-28,72.3,70.5
2022-04-29,70.75,69.0
2022-05-02,68.2,69.45
2022-05-04,70.3,67.1
2022-05-05,67.4,69.85
2022-05-06,67.0,67.2
2022-05-09,66.0,66.2
2022-05-10,66.0,65.0
2022-05-11,65.9,63.25
2022-05-12,61.25,60.45
2022-05-13,61.2,62.5
2022-05-16,63.6,61.35
2022-05-17,61.4,63.35
2022-05-18,64.7,63.2
2022-05-19,61.9,62.55
2022-05-20,63.0,62.15
2022-05-23,62.7,62.55
2022-05-24,63.5,62.65
2022-05-25,63.2,60.35
2022-05-26,61.5,61.65
2022-05-27,61.0,64.0
2022-05-30,64.5,65.0
2022-05-31,64.0,65.65
2022-06-01,66.2,64.4
2022-06-02,64.5,63.5
2022-06-03,64.2,64.0
2022-06-06,64.15,65.85
2022-06-07,64.6,65.05
2022-06-08,65.0,65.1
2022-06-09,64.3,65.0
2022-06-10,64.2,65.65
2022-06-13,63.5,63.6
2022-06-14,63.9,63.05
2022-06-15,63.25,62.0
2022-06-16,63.3,62.45
2022-06-17,61.15,60.0
2022-06-20,60.3,60.25
2022-06-21,61.45,63.9
2022-06-22,63.6,64.0
2022-06-23,64.0,65.9
2022-06-24,66.9,68.0
2022-06-27,68.6,67.05
2022-06-28,66.45,68.75
2022-06-29,68.0,69.45
2022-06-30,69.7,70.4
2022-07-01,70.65,70.0
2022-07-04,69.9,74.0
2022-07-05,74.35,75.3
2022-07-06,75.5,77.35
2022-07-07,78.55,74.7
2022-07-08,74.85,73.55
2022-07-11,72.15,78.25
2022-07-12,77.9,77.0
2022-07-13,77.6,77.65
2022-07-14,77.0,78.7
2022-07-15,79.3,79.9
2022-07-18,80.5,79.55
2022-07-19,79.9,76.4
2022-07-20,77.7,77.45
2022-07-21,77.75,81.0
2022-07-22,81.7,80.45
2022-07-25,80.95,80.45
2022-07-26,80.6,80.25
2022-07-27,79.9,79.4
2022-07-28,80.3,79.95
2022-07-29,80.05,77.4
2022-08-01,77.5,77.15
2022-08-02,77.1,78.0
2022-08-03,77.5,77.7
2022-08-04,77.75,79.45
2022-08-05,80.1,79.5
2022-08-08,80.5,78.9
2022-08-10,79.0,79.75
2022-08-11,80.7,78.65
2022-08-12,78.05,78.35
2022-08-16,78.95,80.35
2022-08-17,80.65,79.7
2022-08-18,79.9,79.4
2022-08-19,80.2,78.1
2022-08-22,78.0,78.25
2022-08-23,78.2,80.35
2022-08-24,80.8,79.15
2022-08-25,79.8,79.8
2022-08-26,80.0,80.0
2022-08-29,78.0,78.45
2022-08-30,79.5,80.95
2022-09-01,81.4,79.7
2022-09-02,80.35,81.95
2022-09-05,82.6,83.55
2022-09-06,84.85,84.0
2022-09-07,84.2,84.8
2022-09-08,85.95,90.0
2022-09-09,91.0,91.0
2022-09-12,92.05,89.7
2022-09-13,90.45,91.2
2022-09-14,89.5,89.9
2022-09-15,90.5,91.8
2022-09-16,91.5,90.7
2022-09-19,89.45,87.7
2022-09-20,88.35,87.75
2022-09-21,88.0,86.65
2022-09-22,86.45,88.95
2022-09-23,89.45,85.85
2022-09-26,84.35,85.0
2022-09-27,85.8,85.0
2022-09-28,89.0,84.75
2022-09-29,86.4,86.65
2022-09-30,87.2,87.5
2022-10-03,87.6,87.55
2022-10-04,88.65,87.5
2022-10-06,88.0,87.8
2022-10-07,87.8,87.25
2022-10-10,87.0,87.0
2022-10-11,87.0,85.8
2022-10-12,86.0,85.95
2022-10-13,85.95,87.7
2022-10-14,88.0,88.8
2022-10-17,88.95,88.6
