date,open,close
2021-03-05,54.0,51.3
2021-03-08,48.75,48.75
2021-03-22,39.9,39.0
2021-03-23,31.2,31.2
2021-03-24,28.5,28.1
2021-03-25,25.3,25.3
2021-03-26,22.8,22.8
2021-03-30,21.7,21.7
2021-03-31,20.65,20.65
2021-04-01,19.65,19.9
2021-04-05,19.15,18.95
2021-04-06,18.05,18.05
2021-04-07,17.15,17.15
2021-04-08,18.0,18.0
2021-04-09,18.9,18.9
2021-04-12,19.8,19.8
2021-04-13,20.75,20.75
2021-04-15,21.75,21.75
2021-04-16,22.75,22.8
2021-04-19,23.9,23.9
2021-04-20,25.05,25.05
2021-04-22,26.3,26.3
2021-04-23,27.6,27.6
2021-04-26,26.35,26.25
2021-04-27,24.95,24.95
2021-04-28,24.0,23.75
2021-04-29,22.6,22.6
2021-04-30,21.6,21.5
2021-05-03,20.45,20.45
2021-05-04,19.5,21.45
2021-05-05,22.0,21.05
2021-05-06,20.55,20.5
2021-05-07,19.55,21.0
2021-05-11,20.5,20.55
2021-05-12,21.45,21.45
2021-05-14,21.0,20.55
2021-05-17,20.0,20.5
2021-05-18,20.4,20.4
2021-05-19,21.15,21.15
2021-05-20,21.5,21.25
2021-05-21,21.0,21.25
2021-05-24,21.4,21.0
2021-05-26,22.0,22.0
2021-05-28,21.7,21.8
2021-05-31,21.8,21.5
2021-06-01,21.2,21.1
2021-06-02,21.5,21.1
2021-06-03,21.1,21.1
2021-06-04,21.5,21.9
2021-06-07,21.95,21.5
2021-06-08,21.0,21.0
2021-06-09,21.5,21.0
2021-06-10,20.5,21.0
2021-06-11,21.0,21.0
2021-06-14,21.25,21.05
2021-06-16,20.05,20.05
2021-06-17,20.75,21.05
2021-06-21,20.0,20.65
2021-06-22,20.45,20.4
2021-06-23,20.05,20.05
2021-06-24,20.0,19.5
2021-06-25,20.0,20.0
2021-06-28,20.0,20.0
2021-06-29,19.5,19.5
2021-06-30,19.95,19.95
2021-07-01,19.15,19.1
2021-07-06,19.0,19.5
2021-07-08,19.6,19.6
2021-07-09,19.5,19.5
2021-07-13,19.0,19.45
2021-07-16,19.5,19.0
2021-07-23,18.5,18.5
2021-07-26,18.25,19.0
2021-07-27,18.5,18.5
2021-07-29,18.0,18.0
2021-07-30,17.5,17.15
2021-08-02,17.15,17.45
2021-08-03,17.0,17.7
2021-08-04,17.5,17.6
2021-08-05,17.6,17.6
2021-08-06,17.5,17.25
2021-08-09,17.25,17.25
2021-08-10,17.0,17.0
2021-08-11,16.5,17.2
2021-08-12,17.25,17.5
2021-08-13,17.15,17.05
2021-08-16,17.25,17.4
2021-08-17,17.25,17.0
2021-08-18,17.0,17.5
2021-08-23,16.75,16.65
2021-08-24,17.25,17.25
2021-08-26,16.8,16.8
2021-08-31,17.0,17.25
2021-09-03,17.25,17.25
2021-09-06,17.9,18.1
2021-09-07,19.0,19.0
2021-09-08,19.95,19.95
2021-09-09,20.9,20.9
2021-09-13,21.9,21.9
2021-09-14,22.95,22.95
2021-09-15,22.95,24.05
2021-09-16,25.25,25.25
2021-09-17,26.5,26.5
2021-09-20,27.75,25.2
2021-09-21,24.0,23.95
2021-09-22,23.1,23.3
2021-09-23,23.45,23.35
2021-09-24,23.95,23.25
2021-09-28,23.3,23.0
2021-09-29,23.05,23.1
2021-10-04,22.8,22.8
2021-10-05,23.0,23.05
2021-10-07,23.1,23.1
2021-10-11,22.75,22.8
2021-10-12,21.7,23.0
2021-10-13,24.0,22.75
2021-10-14,22.75,22.75
2021-10-18,22.8,21.75
2021-10-19,21.75,21.75
2021-10-20,22.0,22.0
2021-10-21,21.0,20.9
2021-10-22,20.9,20.9
2021-10-25,21.25,20.55
