date,open,close
2021-01-07,13.65,13.65
2021-01-14,14.3,14.3
2021-01-15,15.0,15.0
2021-01-19,14.25,14.25
2021-01-22,14.0,13.55
2021-01-27,13.5,13.5
2021-02-02,12.85,12.85
2021-02-09,13.45,13.45
2021-02-23,12.8,12.8
2021-02-25,12.5,12.5
2021-02-26,12.9,12.9
2021-03-04,12.3,12.3
2021-03-09,11.7,11.7
2021-03-15,11.15,11.15
2021-03-17,10.7,10.7
2021-03-18,10.3,10.25
2021-03-26,10.5,9.75
2021-04-22,9.75,9.75
2021-04-27,10.2,10.2
2021-04-28,10.7,10.7
2021-05-03,11.2,11.2
2021-05-04,11.75,11.75
2021-05-07,12.3,12.3
2021-05-14,12.9,12.9
2021-05-21,13.5,13.5
2021-05-24,14.15,14.15
2021-05-26,14.85,14.85
2021-05-28,15.55,15.55
2021-05-31,16.3,16.3
2021-06-01,17.1,17.1
2021-06-02,17.95,17.95
2021-06-03,18.8,18.8
2021-06-04,19.7,19.65
2021-06-07,20.6,19.95
2021-06-09,20.9,19.0
2021-06-10,18.05,18.05
2021-06-11,17.15,17.5
2021-06-14,16.65,16.65
2021-06-15,15.85,16.15
2021-06-16,15.35,15.35
2021-06-21,15.35,14.6
2021-06-29,13.9,15.3
2021-06-30,16.05,16.05
2021-07-06,16.05,16.05
2021-07-12,16.85,16.85
2021-07-13,16.2,16.05
2021-07-23,16.05,15.25
2021-08-04,14.5,14.5
2021-08-10,14.5,14.5
2021-08-13,13.8,13.8
2021-09-08,14.45,14.45
2021-09-09,14.45,14.45
2021-09-14,15.15,15.15
2021-09-22,15.0,15.0
2021-10-08,15.1,15.1
2021-10-11,15.8,15.8
2021-10-12,15.1,15.1
2021-10-13,15.05,15.05
2021-10-27,15.2,15.2
2021-10-29,15.2,15.2
2021-11-08,14.5,14.5
2021-11-11,14.0,14.0
2021-11-16,13.3,13.3
2021-11-26,13.85,13.85
2021-12-01,14.45,14.45
2021-12-14,15.15,15.15
2021-12-17,15.9,15.9
2021-12-20,16.65,16.65
2021-12-24,17.45,17.45
2021-12-29,18.3,18.3
2022-01-07,19.2,19.2
2022-01-21,20.15,20.15
2022-01-24,21.15,21.15
2022-01-25,22.2,22.2
2022-01-27,23.3,23.3
2022-02-01,24.45,24.45
2022-02-02,25.65,25.65
2022-02-03,26.9,26.9
2022-02-04,28.2,28.2
2022-02-07,29.6,29.6
2022-02-08,31.05,31.05
2022-02-09,32.6,32.6
2022-02-10,34.2,34.2
2022-02-11,35.9,35.7
2022-02-14,35.5,33.95
2022-02-15,34.5,34.5
2022-02-16,32.8,32.8
2022-02-17,31.25,31.2
2022-02-18,32.75,32.75
2022-03-04,31.15,31.15
2022-03-10,31.15,31.15
2022-03-11,32.7,32.7
2022-03-16,32.7,32.7
2022-03-17,31.1,34.3
2022-03-22,35.95,35.95
2022-03-28,36.6,36.6
2022-03-29,37.95,37.95
2022-03-31,39.4,37.0
2022-04-01,38.0,38.65
2022-04-05,40.55,40.55
2022-04-06,42.5,42.5
2022-05-16,40.4,40.4
2022-05-20,39.9,39.9
2022-05-24,37.95,37.95
2022-05-31,39.8,39.8
2022-06-01,41.25,41.75
2022-09-12,41.5,41.65
2022-09-13,41.5,41.65
2022-10-10,41.65,41.5
2022-10-12,41.5,41.5
2022-10-13,41.5,41.5
2022-11-11,41.5,41.5
2022-11-15,43.55,43.55
2022-11-16,45.7,45.7
2022-11-17,47.95,47.95
2022-11-18,50.3,50.3
2022-11-21,52.8,52.8
2022-11-22,55.4,55.4
2022-11-23,58.15,58.15
2022-11-24,61.05,61.05
2022-11-25,64.1,64.1
2022-11-28,67.3,67.3
2022-11-29,70.2,70.6
2022-11-30,74.1,74.1
2022-12-01,77.8,77.8
2022-12-02,81.6,73.95
2022-12-06,70.3,70.3
2022-12-07,66.8,66.8
2022-12-08,63.5,70.1
2022-12-09,73.4,72.8
2022-12-12,69.2,69.2
2022-12-13,71.25,71.2
2022-12-14,67.65,67.65
2022-12-15,65.0,64.3
2022-12-16,67.5,67.5
2022-12-19,70.85,70.85
2022-12-20,74.35,74.35
2022-12-21,75.0,75.0
2022-12-22,71.25,76.95
2022-12-23,80.7,80.75
2022-12-26,84.75,84.75
2022-12-27,88.95,88.95
2022-12-28,93.35,93.35
2022-12-29,98.0,98.0
2022-12-30,102.9,102.9
2023-01-02,108.0,108.0
2023-01-03,113.4,113.4
2023-01-04,119.05,119.05
2023-01-05,125.0,113.1
2023-01-06,107.45,107.45
2023-01-09,102.1,112.8
2023-01-10,107.8,107.25
2023-01-12,112.6,112.6
2023-01-17,118.15,107.0
2023-01-18,102.05,102.0
2023-01-19,96.9,96.9
2023-01-20,93.0,93.15
2023-01-23,97.5,97.8
2023-01-24,102.65,102.65
2023-01-25,102.65,107.6
2023-01-27,107.6,107.6
2023-02-03,107.6,105.0
2023-02-06,105.0,100.05
2023-02-07,100.0,100.0
2023-02-08,95.25,95.25
2023-02-14,90.5,90.5
2023-02-15,86.5,86.0
2023-02-16,86.0,86.0
2023-02-20,90.0,90.0
2023-02-22,94.5,94.5
2023-02-24,99.2,99.2
2023-02-28,104.15,104.15
2023-03-01,54.7,54.7
2023-03-02,57.4,57.4
2023-03-03,60.25,60.25
2023-03-06,63.25,63.25
2023-03-08,66.4,66.4
2023-03-09,63.1,63.1
2023-03-10,59.95,59.95
2023-03-13,56.95,56.95
2023-03-14,54.1,54.1
2023-03-15,51.4,51.4
2023-03-16,48.85,48.85
2023-03-17,46.4,46.4
2023-03-20,44.1,44.1
2023-03-21,46.3,46.2
2023-03-27,43.9,43.9
2023-03-28,41.7,41.7
2023-03-29,43.75,43.75
2023-04-06,45.9,45.9
2023-04-11,48.15,48.15
2023-04-12,50.55,50.55
2023-04-20,52.15,53.05
2023-05-03,51.0,50.4
2023-05-09,49.9,49.9
2023-05-10,49.9,51.45
2023-05-11,54.0,54.0
2023-05-12,56.7,56.7
2023-05-15,59.5,59.5
2023-05-17,58.55,58.55
2023-05-19,57.0,57.0
2023-05-22,58.8,57.5
2023-05-23,60.3,57.5
2023-05-24,54.65,57.0
2023-05-25,59.85,59.85
2023-05-26,62.8,62.8
2023-05-29,65.9,65.9
2023-05-30,69.0,69.15
2023-05-31,72.6,72.6
2023-06-01,72.6,76.15
2023-06-02,79.65,79.25
2023-06-05,79.25,81.0
2023-06-06,81.0,76.95
2023-06-07,73.1,73.1
2023-06-08,69.45,69.45
2023-06-09,69.0,69.0
2023-06-12,66.2,72.45
2023-06-13,76.05,76.05
2023-06-14,79.85,79.85
2023-06-15,77.1,75.85
2023-06-16,75.1,75.1
2023-06-19,72.8,71.4
2023-06-20,74.9,74.95
2023-06-21,72.75,71.2
2023-06-22,69.0,67.7
2023-06-23,64.75,65.3
2023-06-26,68.4,68.55
2023-06-27,71.95,71.95
2023-06-28,72.0,75.0
2023-06-30,77.75,78.0
2023-07-03,78.0,77.8
2023-07-04,74.6,74.55
2023-07-05,71.0,70.85
2023-07-06,71.1,71.05
2023-07-07,71.6,71.6
2023-07-10,73.5,73.5
2023-07-11,76.0,72.0
2023-07-12,75.6,75.6
2023-07-13,75.6,75.0
2023-07-14,73.0,72.0
