date,open,close
2023-01-04,103.0,104.9
2023-01-05,106.4,106.1
2023-01-06,106.0,108.2
2023-01-09,108.95,105.75
2023-01-10,105.0,104.5
2023-01-11,105.0,104.5
2023-01-12,103.2,104.0
2023-01-13,102.5,103.0
2023-01-16,103.95,101.15
2023-01-17,102.15,101.2
2023-01-18,101.8,98.6
2023-01-19,98.2,97.8
2023-01-20,98.2,94.75
2023-01-23,95.05,93.7
2023-01-24,92.5,95.0
2023-01-25,95.6,92.55
2023-01-27,94.15,92.0
2023-01-30,93.75,92.45
2023-01-31,91.9,96.2
2023-02-01,97.95,95.5
2023-02-02,94.1,96.75
2023-02-03,97.35,96.5
2023-02-06,96.45,101.0
2023-02-07,101.4,103.0
2023-02-08,102.75,105.0
2023-02-09,103.55,104.5
2023-02-10,103.6,106.35
2023-02-13,106.45,102.1
2023-02-14,104.8,99.2
2023-02-15,101.6,98.0
2023-02-16,99.9,100.0
2023-02-17,100.4,97.5
2023-02-20,99.65,98.65
2023-02-21,97.15,97.35
2023-02-22,97.5,97.65
2023-02-23,97.9,97.0
2023-02-24,98.9,96.0
2023-02-27,97.7,99.0
2023-02-28,100.0,97.0
2023-03-01,98.5,97.85
2023-03-02,100.4,97.8
2023-03-03,98.95,97.6
2023-03-06,98.5,97.0
2023-03-08,97.9,96.85
2023-03-09,97.0,97.0
2023-03-10,97.9,96.0
2023-03-13,97.3,95.25
2023-03-14,96.95,94.4
2023-03-15,95.95,93.1
2023-03-16,92.3,93.5
2023-03-17,93.7,94.5
2023-03-20,93.3,92.3
2023-03-21,93.45,92.05
2023-03-22,93.25,91.8
2023-03-23,91.75,97.0
2023-03-24,98.15,92.95
2023-03-27,97.6,90.5
2023-03-28,91.4,88.7
2023-03-29,90.0,92.45
2023-03-31,91.5,96.2
2023-04-03,97.4,95.55
2023-04-05,94.8,95.1
2023-04-06,95.1,95.8
2023-04-10,95.85,93.6
2023-04-11,93.6,95.1
2023-04-12,96.7,98.95
2023-04-13,98.05,97.85
2023-04-17,96.1,96.85
2023-04-18,97.65,97.95
2023-04-19,98.25,96.4
2023-04-20,96.1,95.5
2023-04-21,95.5,95.75
2023-04-24,97.4,94.85
2023-04-25,95.35,95.75
2023-04-26,96.45,94.25
2023-04-27,95.0,96.0
2023-04-28,98.6,95.85
2023-05-02,97.45,95.25
2023-05-03,95.25,93.95
2023-05-04,94.5,94.5
2023-05-05,94.5,93.95
2023-05-08,93.95,92.0
2023-05-09,92.7,92.35
