date,open,close
2021-01-04,93.9,92.5
2021-01-05,92.65,94.65
2021-01-06,97.85,94.7
2021-01-07,95.9,93.65
2021-01-08,94.9,95.55
2021-01-11,97.0,93.75
2021-01-12,94.0,93.65
2021-01-13,94.4,92.6
2021-01-14,92.3,90.85
2021-01-15,92.95,90.2
2021-01-18,90.7,90.55
2021-01-19,91.4,90.6
2021-01-20,91.3,89.3
2021-01-21,90.05,88.75
2021-01-22,89.4,86.85
2021-01-25,87.9,83.25
2021-01-27,84.9,83.65
2021-01-28,84.0,82.25
2021-01-29,83.4,84.05
2021-02-01,85.6,85.4
2021-02-02,86.2,86.6
2021-02-03,88.55,88.3
2021-02-04,89.6,91.55
2021-02-05,92.9,88.0
2021-02-08,88.1,86.1
2021-02-09,87.9,86.65
2021-02-10,87.8,84.55
2021-02-11,85.4,86.6
2021-02-12,87.7,83.35
2021-02-15,85.0,82.45
2021-02-16,82.0,81.1
2021-02-17,82.0,79.6
2021-02-18,78.9,80.1
2021-02-19,80.7,79.7
2021-02-22,80.3,78.0
2021-02-23,81.0,84.8
2021-02-24,86.25,84.95
2021-02-25,86.5,84.5
2021-02-26,84.9,82.15
2021-03-01,82.2,84.0
2021-03-02,83.3,87.65
2021-03-03,88.9,86.5
2021-03-04,85.5,87.0
2021-03-05,87.75,84.55
2021-03-08,85.45,84.75
2021-03-09,86.65,83.45
2021-03-10,85.9,85.35
2021-03-12,85.5,84.4
2021-03-15,86.95,84.8
2021-03-16,85.9,84.6
2021-03-17,86.0,83.4
2021-03-18,85.3,81.0
2021-03-19,81.1,82.85
2021-03-22,83.5,83.75
2021-03-23,84.3,84.85
2021-03-24,85.5,82.2
2021-03-25,83.7,80.75
2021-03-26,82.7,81.75
2021-03-30,84.0,82.65
2021-03-31,83.95,81.4
2021-04-01,82.6,85.7
2021-04-05,85.95,82.4
2021-04-06,84.35,84.75
2021-04-07,85.9,84.0
2021-04-08,84.7,85.25
2021-04-09,85.25,84.05
2021-04-12,84.0,80.05
2021-04-13,81.8,82.0
2021-04-15,82.95,79.85
2021-04-16,81.0,79.8
2021-04-19,81.0,76.9
2021-04-20,78.85,76.35
2021-04-22,77.0,76.15
2021-04-23,77.0,78.9
2021-04-26,79.2,81.5
2021-04-27,82.5,84.2
2021-04-28,87.0,83.7
2021-04-29,84.7,83.15
2021-04-30,83.5,86.3
2021-05-03,86.85,84.25
2021-05-04,85.55,86.3
2021-05-05,87.4,87.0
2021-05-06,87.35,84.95
2021-05-07,85.95,85.0
2021-05-10,85.65,86.7
2021-05-11,86.5,86.05
2021-05-12,86.15,85.0
2021-05-14,86.0,84.5
2021-05-17,85.95,83.35
2021-05-18,84.95,82.5
2021-05-19,83.8,83.5
2021-05-20,83.9,83.95
2021-05-21,83.65,85.4
2021-05-24,85.0,85.35
2021-05-25,86.0,84.3
2021-05-26,85.65,84.0
2021-05-27,84.4,85.35
2021-05-28,84.9,84.1
2021-05-31,84.9,85.25
2021-06-01,85.5,82.9
2021-06-02,83.75,84.15
2021-06-03,83.3,86.5
2021-06-04,86.35,84.55
2021-06-07,85.0,84.2
2021-06-08,84.15,84.35
2021-06-09,84.95,83.35
2021-06-10,83.75,85.6
2021-06-11,85.6,83.35
2021-06-14,84.5,82.95
2021-06-15,84.0,84.0
2021-06-16,84.9,84.6
2021-06-17,84.35,84.85
2021-06-18,85.2,83.6
2021-06-21,83.85,85.0
2021-06-22,86.0,84.9
2021-06-23,85.75,90.35
2021-06-24,95.0,92.8
2021-06-25,94.0,93.4
2021-06-28,94.45,91.1
2021-06-29,92.45,90.7
2021-06-30,90.8,97.3
2021-07-01,100.0,101.35
2021-07-02,103.0,106.9
2021-07-05,108.5,100.6
2021-07-06,102.9,97.9
2021-07-07,100.05,109.9
2021-07-08,112.9,106.45
2021-07-09,106.4,104.85
2021-07-12,105.85,102.35
2021-07-13,103.45,103.35
2021-07-14,103.95,103.55
2021-07-15,110.1,106.0
2021-07-16,109.0,106.95
2021-07-19,105.0,108.3
2021-07-20,108.0,105.4
2021-07-22,106.4,106.2
2021-07-23,108.75,106.0
2021-07-26,106.3,103.6
2021-07-27,104.65,104.4
2021-07-28,104.9,106.25
2021-07-29,108.95,106.25
2021-07-30,106.0,103.8
2021-08-02,104.7,104.25
2021-08-03,104.7,102.75
2021-08-04,103.2,100.95
2021-08-05,101.3,103.0
2021-08-06,102.0,102.4
2021-08-09,102.5,101.0
2021-08-10,100.9,94.85
2021-08-11,95.8,95.5
2021-08-12,96.85,100.25
2021-08-13,100.0,102.0
2021-08-16,105.0,101.5
2021-08-17,102.65,98.8
2021-08-18,100.2,97.5
2021-08-20,96.1,93.2
2021-08-23,95.8,89.75
2021-08-24,92.7,92.05
2021-08-25,93.6,95.05
2021-08-26,95.0,94.25
2021-08-27,94.9,93.25
2021-08-30,93.4,94.55
2021-08-31,95.0,98.0
2021-09-01,99.0,97.9
2021-09-02,98.0,99.1
2021-09-03,98.4,97.1
2021-09-06,97.25,96.55
2021-09-07,97.35,98.9
2021-09-08,99.9,98.45
2021-09-09,98.9,98.7
2021-09-13,99.5,98.1
2021-09-14,98.8,98.65
2021-09-15,99.7,101.0
2021-09-16,102.0,99.75
2021-09-17,100.05,97.3
2021-09-20,97.6,92.0
2021-09-21,92.5,96.45
2021-09-22,97.1,95.5
2021-09-23,96.1,96.4
2021-09-24,97.2,95.2
2021-09-27,95.7,96.4
2021-09-28,97.4,95.1
2021-09-29,94.7,98.0
2021-09-30,99.55,96.6
2021-10-01,96.5,96.2
2021-10-04,96.85,96.55
2021-10-05,96.8,99.15
2021-10-06,99.5,96.55
2021-10-07,97.8,96.9
2021-10-08,97.25,96.3
2021-10-11,97.0,96.25
2021-10-12,96.8,95.4
2021-10-13,95.45,95.2
2021-10-14,95.05,95.0
2021-10-18,95.9,96.95
2021-10-19,95.6,94.65
2021-10-20,95.35,92.7
2021-10-21,93.5,92.4
2021-10-22,93.0,91.45
2021-10-25,92.5,90.6
2021-10-26,92.7,94.3
2021-10-27,94.05,92.0
2021-10-28,91.7,90.75
2021-10-29,91.9,91.0
2021-11-01,92.0,91.25
2021-11-02,92.6,92.6
2021-11-03,93.45,91.35
2021-11-04,92.55,93.25
2021-11-08,93.7,93.5
2021-11-09,93.8,93.95
2021-11-10,93.0,93.8
2021-11-11,93.25,92.7
2021-11-12,93.5,92.25
2021-11-15,93.4,92.7
2021-11-16,92.0,91.9
2021-11-17,91.9,90.25
2021-11-18,90.2,89.1
2021-11-22,89.0,85.45
2021-11-23,84.3,89.75
2021-11-24,89.15,89.0
2021-11-25,89.35,88.6
2021-11-26,88.9,86.5
2021-11-29,85.0,83.5
2021-11-30,84.5,85.6
2021-12-01,86.15,87.0
2021-12-02,87.25,87.6
2021-12-03,87.5,87.7
2021-12-06,88.4,86.0
2021-12-07,87.0,86.9
2021-12-08,87.9,87.55
2021-12-09,87.45,87.85
2021-12-10,88.3,88.3
2021-12-13,88.45,88.0
2021-12-14,88.35,88.8
2021-12-15,89.5,92.0
2021-12-16,93.9,90.5
2021-12-17,89.9,88.45
2021-12-20,89.15,85.9
2021-12-21,85.7,86.65
2021-12-22,86.95,88.65
2021-12-23,88.0,90.1
2021-12-24,90.5,86.3
2021-12-27,86.9,87.0
2021-12-28,88.95,87.35
2021-12-29,88.0,87.8
2021-12-30,88.9,88.7
2021-12-31,89.5,88.15
2022-01-03,89.35,88.4
2022-01-04,89.2,89.4
2022-01-05,89.8,90.7
2022-01-06,90.2,91.0
2022-01-07,93.0,98.4
2022-01-10,99.7,98.8
2022-01-11,98.5,95.25
2022-01-12,95.65,95.3
2022-01-13,95.8,94.5
2022-01-14,94.9,95.0
2022-01-17,96.7,96.8
2022-01-18,97.3,94.5
2022-01-19,95.45,97.4
2022-01-20,97.5,95.35
2022-01-21,95.4,97.0
2022-01-24,98.5,92.85
2022-01-25,93.0,93.1
2022-01-27,93.9,97.85
2022-01-28,97.8,96.25
