date,open,close
2021-01-04,45.0,45.0
2021-01-06,42.0,42.0
2021-01-07,46.5,47.0
2021-01-08,49.0,48.9
2021-01-11,48.5,46.35
2021-01-12,45.5,45.5
2021-01-14,44.8,44.8
2021-01-15,44.75,43.25
2021-01-18,42.5,42.5
2021-01-19,42.25,42.25
2021-01-20,33.8,43.4
2021-01-29,45.0,45.0
2021-02-01,45.0,45.0
2021-02-03,45.0,45.0
2021-02-08,45.0,45.0
2021-02-09,45.0,45.0
2021-03-02,44.9,45.0
2021-03-03,45.0,47.0
2021-03-04,40.25,42.0
2021-03-15,45.0,44.0
2021-03-16,44.0,44.0
2021-03-18,40.3,45.25
2021-03-24,45.5,44.0
2021-04-06,38.15,42.0
2021-04-26,42.0,46.0
2021-04-28,45.95,46.5
2021-05-11,40.0,45.0
2021-05-24,46.0,46.25
2021-05-25,49.95,50.8
2021-05-26,60.0,60.95
2021-05-27,73.0,73.1
2021-05-28,80.4,80.4
2021-05-31,88.4,88.4
2021-06-01,97.2,97.2
2021-06-02,102.05,102.05
2021-06-03,107.15,107.15
2021-06-04,112.5,112.5
2021-06-07,118.1,118.1
2021-06-08,124.0,124.0
2021-06-09,130.2,130.2
2021-06-10,136.7,136.7
2021-06-11,143.5,143.5
2021-06-14,150.65,150.65
2021-06-15,158.0,158.0
2021-06-16,165.9,165.9
2021-06-17,174.15,174.15
2021-06-18,182.85,182.85
2021-06-21,182.85,191.95
2021-06-22,182.5,184.9
2021-06-23,175.7,175.7
2021-06-24,166.95,166.95
2021-06-25,158.65,158.65
2021-06-28,150.75,150.75
2021-06-29,150.0,150.0
2021-07-06,157.5,157.5
2021-07-07,165.35,165.35
2021-07-08,173.6,173.0
2021-07-13,166.6,166.5
2021-07-14,173.0,173.0
2021-07-19,181.65,181.65
2021-07-20,190.7,190.7
2021-07-22,200.2,200.2
2021-07-23,210.2,210.2
2021-07-29,220.7,220.7
2021-08-05,231.0,231.0
2021-08-06,242.55,242.55
2021-08-09,254.65,250.0
2021-08-12,237.5,237.5
2021-08-13,225.65,226.0
2021-08-17,214.7,214.7
2021-08-18,204.0,204.0
2021-08-20,214.2,214.2
2021-08-23,214.2,224.9
2021-08-24,213.7,213.7
2021-08-25,215.0,213.85
2021-08-27,224.5,224.5
2021-09-08,235.2,234.8
2021-09-09,246.5,246.5
2021-09-13,258.8,258.8
2021-09-14,271.7,271.7
2021-09-15,285.25,285.25
2021-09-16,299.5,280.0
2021-09-20,266.0,294.0
2021-09-21,302.0,308.7
2021-09-22,324.1,324.1
2021-09-28,340.3,340.3
2021-09-29,323.65,323.3
2021-10-05,310.0,324.0
2021-10-06,308.1,307.85
2021-10-07,292.5,292.55
2021-10-18,300.0,300.0
2021-10-20,285.0,285.0
2021-10-25,290.0,290.0
2021-10-27,292.0,292.0
2021-10-28,305.0,305.0
2021-11-01,320.25,319.0
2021-11-02,334.0,334.95
2021-11-03,351.65,351.65
2021-11-04,369.2,369.2
2021-11-08,387.65,387.5
2021-11-09,394.0,387.5
2021-11-10,368.15,370.0
2021-11-11,380.0,372.05
2021-11-12,360.0,362.8
2021-11-15,378.0,364.0
2021-11-16,346.0,349.95
2021-11-18,367.0,367.0
2021-11-22,365.0,361.0
2021-11-23,350.0,350.0
2021-11-24,350.1,351.5
2021-11-25,350.0,366.0
2021-11-26,348.0,384.3
2021-11-29,403.5,403.5
2021-11-30,423.6,421.0
2021-12-01,418.95,441.0
2021-12-02,446.0,463.05
2021-12-03,486.2,486.2
2021-12-06,490.0,510.5
2021-12-07,536.0,536.0
2021-12-08,562.8,562.8
2021-12-09,571.0,586.8
2021-12-10,615.0,566.5
2021-12-13,538.2,538.2
2021-12-14,511.3,511.3
2021-12-15,485.75,496.5
2021-12-16,500.0,471.7
2021-12-17,449.0,448.5
2021-12-20,427.0,426.1
2021-12-21,405.0,410.05
2021-12-22,427.0,427.0
2021-12-23,445.0,448.35
2021-12-27,440.0,440.0
2021-12-28,445.0,461.0
2021-12-29,484.05,484.05
2021-12-30,508.25,508.25
2021-12-31,533.65,533.5
2022-01-03,560.15,548.75
2022-01-04,550.0,533.1
2022-01-05,530.0,530.0
2022-01-06,510.25,556.5
2022-01-07,584.3,584.3
2022-01-10,613.2,613.5
2022-01-11,615.0,644.15
2022-01-12,612.1,639.8
2022-01-13,615.0,671.75
2022-01-14,704.9,705.3
2022-01-17,706.0,740.0
2022-01-18,703.0,703.0
2022-01-19,667.9,695.0
2022-01-20,729.5,721.0
