date,open,close
2021-01-04,395.8,394.65
2021-01-05,393.95,406.9
2021-01-06,410.0,400.55
2021-01-07,404.55,407.35
2021-01-08,410.65,429.6
2021-01-11,434.0,426.3
2021-01-12,426.35,424.0
2021-01-13,426.1,415.25
2021-01-14,417.0,408.1
2021-01-15,403.15,400.4
2021-01-18,400.0,392.6
2021-01-19,397.9,401.85
2021-01-20,401.0,399.6
2021-01-21,402.75,417.5
2021-01-22,419.85,412.85
2021-01-25,413.0,408.0
2021-01-27,401.25,411.5
2021-01-28,405.0,398.0
2021-01-29,402.0,386.0
2021-02-01,377.0,369.95
2021-02-02,373.9,369.6
2021-02-03,372.95,384.6
2021-02-04,389.0,402.3
2021-02-05,401.0,406.1
2021-02-08,406.9,417.35
2021-02-09,417.35,406.75
2021-02-10,407.0,401.35
2021-02-11,403.45,403.0
2021-02-12,405.0,400.45
2021-02-15,401.0,392.4
2021-02-16,397.3,394.65
2021-02-17,392.95,387.5
2021-02-18,390.35,396.2
2021-02-19,391.0,400.3
2021-02-22,404.85,466.25
2021-02-23,486.1,484.25
2021-02-24,485.1,472.6
2021-02-25,471.0,491.5
2021-02-26,485.1,478.0
2021-03-01,485.0,476.05
2021-03-02,482.95,488.9
2021-03-03,495.7,485.65
2021-03-04,482.55,491.75
2021-03-05,485.25,480.35
2021-03-08,482.1,478.0
2021-03-09,483.5,487.5
2021-03-10,492.35,487.5
2021-03-12,488.0,503.5
2021-03-15,503.5,501.75
2021-03-16,505.1,523.85
2021-03-17,525.0,507.55
2021-03-18,507.0,484.0
2021-03-19,483.45,470.6
2021-03-22,463.95,471.8
2021-03-23,473.0,479.95
2021-03-24,479.45,481.75
2021-03-25,485.0,488.15
2021-03-26,493.15,490.55
2021-03-30,498.0,505.85
2021-03-31,507.5,508.0
2021-04-01,513.3,521.95
2021-04-05,523.55,524.5
2021-04-06,527.9,547.75
2021-04-07,545.3,571.5
2021-04-08,575.0,601.9
2021-04-09,598.4,590.5
2021-04-12,584.6,575.85
2021-04-13,578.9,616.3
2021-04-15,619.7,594.0
2021-04-16,596.9,585.1
2021-04-19,579.9,586.95
2021-04-20,590.9,590.0
2021-04-22,587.9,580.2
2021-04-23,580.2,572.85
2021-04-26,574.9,562.6
2021-04-27,564.9,562.9
2021-04-28,566.0,576.6
2021-04-29,581.9,569.6
2021-04-30,569.0,572.85
2021-05-03,570.9,568.6
2021-05-04,568.45,577.0
2021-05-05,579.9,578.0
2021-05-06,580.9,598.0
2021-05-07,595.05,597.35
2021-05-10,600.0,594.75
2021-05-11,586.0,590.0
2021-05-12,594.0,587.95
2021-05-14,595.0,580.0
2021-05-17,588.9,577.0
2021-05-18,580.9,580.0
2021-05-19,580.85,591.25
2021-05-20,595.95,599.0
2021-05-21,604.0,587.0
2021-05-24,590.9,587.0
2021-05-25,595.0,588.8
2021-05-26,589.7,647.0
2021-05-27,657.0,694.5
2021-05-28,696.05,681.1
2021-05-31,683.0,677.0
2021-06-01,679.0,663.05
2021-06-02,656.0,676.0
2021-06-03,682.0,682.0
2021-06-04,691.0,729.0
2021-06-07,735.0,726.9
2021-06-08,729.6,737.9
2021-06-09,747.0,736.0
2021-06-10,726.95,713.0
2021-06-11,720.9,728.0
2021-06-14,726.5,725.95
2021-06-15,723.4,714.45
2021-06-16,715.0,716.05
2021-06-17,719.0,713.9
2021-06-18,723.9,736.0
2021-06-21,722.9,729.0
2021-06-22,734.0,730.0
2021-06-23,735.0,717.0
2021-06-24,719.8,713.0
2021-06-25,716.0,713.0
2021-06-28,717.0,712.0
2021-06-29,716.95,759.7
2021-06-30,766.9,747.0
2021-07-01,752.0,757.0
2021-07-02,755.0,754.5
2021-07-05,759.0,743.95
2021-07-06,746.0,735.1
2021-07-07,736.1,735.0
2021-07-08,737.0,762.0
2021-07-09,764.6,756.0
2021-07-12,760.0,757.0
2021-07-13,760.95,766.0
2021-07-14,768.6,766.0
2021-07-15,769.95,785.2
2021-07-16,793.05,782.05
2021-07-19,782.0,790.1
2021-07-20,789.9,768.1
2021-07-22,780.0,787.55
2021-07-23,793.85,785.5
2021-07-26,785.0,774.75
2021-07-27,774.9,763.7
2021-07-28,763.95,759.0
2021-07-29,763.1,771.0
2021-07-30,778.85,773.0
2021-08-02,795.0,789.45
2021-08-03,795.5,786.7
2021-08-04,793.0,813.0
2021-08-05,841.25,814.0
2021-08-06,810.55,845.2
2021-08-09,850.0,872.0
2021-08-10,874.95,855.5
2021-08-11,850.0,834.45
2021-08-12,835.0,844.0
2021-08-13,848.0,844.0
2021-08-16,846.65,845.0
2021-08-17,844.85,895.0
2021-08-18,898.0,872.1
2021-08-20,870.0,844.0
2021-08-23,857.0,855.0
2021-08-24,860.9,879.6
2021-08-25,884.85,878.9
2021-08-26,884.55,866.0
2021-08-27,801.35,857.5
2021-08-30,867.75,846.95
2021-08-31,854.55,834.85
2021-09-01,843.0,835.0
2021-09-02,840.4,841.7
2021-09-03,842.2,855.8
2021-09-06,861.0,853.0
2021-09-07,855.0,843.5
2021-09-08,845.0,844.45
2021-09-09,840.9,854.9
2021-09-13,857.9,855.0
2021-09-14,855.0,850.0
2021-09-15,853.9,852.7
2021-09-16,855.25,857.95
2021-09-17,863.0,876.0
2021-09-20,875.75,880.0
2021-09-21,878.0,875.0
2021-09-22,872.8,925.0
2021-09-23,939.7,929.0
2021-09-24,930.0,937.0
2021-09-27,957.9,920.0
2021-09-28,922.5,913.5
2021-09-29,905.0,892.5
2021-09-30,897.65,883.2
2021-10-01,874.9,884.9
2021-10-04,894.75,880.0
2021-10-05,881.45,915.0
2021-10-06,916.85,915.0
2021-10-07,917.8,916.0
2021-10-08,925.0,923.0
