date,open,close
2021-01-04,24.6,24.25
2021-01-05,24.6,24.5
2021-01-06,24.65,24.05
2021-01-07,24.35,23.9
2021-01-08,24.6,26.8
2021-01-11,27.0,26.2
2021-01-12,26.45,28.6
2021-01-13,28.9,28.1
2021-01-14,28.1,27.1
2021-01-15,27.0,26.5
2021-01-18,26.65,26.1
2021-01-19,26.4,26.25
2021-01-20,26.7,25.85
2021-01-21,25.95,25.7
2021-01-22,25.7,25.1
2021-01-25,25.45,23.95
2021-01-27,23.75,22.85
2021-01-28,22.7,24.3
2021-01-29,24.75,24.3
2021-02-01,24.95,23.75
2021-02-02,24.9,24.25
2021-02-03,24.3,24.05
2021-02-04,24.15,26.15
2021-02-05,26.35,26.25
2021-02-08,26.0,25.45
2021-02-09,25.65,25.05
2021-02-10,25.45,24.9
2021-02-11,25.0,25.3
2021-02-12,25.1,24.5
2021-02-15,24.85,24.6
2021-02-16,24.55,24.5
2021-02-17,24.7,24.4
2021-02-18,24.5,25.15
2021-02-19,25.15,24.6
2021-02-22,24.85,24.2
2021-02-23,24.4,24.15
2021-02-24,24.15,24.95
2021-02-25,25.5,28.75
2021-02-26,28.4,27.85
2021-03-01,28.1,31.4
2021-03-02,31.2,31.75
2021-03-03,31.9,30.55
2021-03-04,30.35,31.05
2021-03-05,31.6,32.4
2021-03-08,32.8,32.25
2021-03-09,34.4,32.6
2021-03-10,33.0,32.1
2021-03-12,32.15,31.35
2021-03-15,32.0,33.9
2021-03-16,34.4,33.25
2021-03-17,33.4,31.05
2021-03-18,31.45,29.3
2021-03-19,28.8,30.1
2021-03-22,30.0,32.1
2021-03-23,32.0,31.5
2021-03-24,31.1,29.95
2021-03-25,30.5,28.55
2021-03-26,29.0,28.65
2021-03-30,29.1,29.0
2021-03-31,28.85,29.35
2021-04-01,29.65,30.25
2021-04-05,30.2,31.0
2021-04-06,31.25,30.5
2021-04-07,30.6,30.8
2021-04-08,31.05,32.0
2021-04-09,31.75,31.1
2021-04-12,30.5,29.15
2021-04-13,29.05,29.9
2021-04-15,29.9,29.75
2021-04-16,29.8,29.65
2021-04-19,28.7,28.35
2021-04-20,28.8,29.0
2021-04-22,29.25,28.9
2021-04-23,28.75,30.5
2021-04-26,31.0,29.1
2021-04-27,29.1,30.45
2021-04-28,30.5,30.3
2021-04-29,30.55,30.1
2021-04-30,29.75,30.15
2021-05-03,30.1,33.8
2021-05-04,34.5,34.2
2021-05-05,35.05,36.0
2021-05-06,36.35,35.85
2021-05-07,36.2,34.95
2021-05-10,35.45,36.25
2021-05-11,36.25,43.5
2021-05-12,46.45,41.45
2021-05-14,42.7,42.0
2021-05-17,42.4,43.65
2021-05-18,44.3,43.4
2021-05-19,43.2,46.45
2021-05-20,47.6,45.6
2021-05-21,46.05,45.8
2021-05-24,46.3,43.85
