stock,profit,total_profit,total_invested_amount
ESAIND,-141,-141,5999
COALIN,7,-134,6355
INDRAI,-10,-144,7225
SWAENG,43,-101,9628
PRUCOP,1,-100,10843
AXICOT,-5,-105,10875
ANGBRO,47,-58,14120
CHAINF,28,-30,15217
MADBHA,1,-29,15512
LTINFO,99,70,21642
NIILEA,14,84,22063
IONEXC,1,85,22664
MACIN,8,93,24379
RPGLIF,-25,68,25767
LTTEC,73,141,30898
GOACAR,11,152,31444
STYIND,-18,134,33216
ASTPHA,579,713,37966
NIITEC,145,858,44111
KPITE,25,883,45625
GLELIF,3,886,46267
JKPAP,0,886,46656
SAKSOF,-1,885,46979
GRINOR,20,905,49159
HAPMIN,0,905,50075
MAHGAS,10,915,51259
CAPPOI,102,1017,52562
BANPRO,39,1056,53141
ROTPUM,7,1063,53551
REDIND,0,1063,53726
ALLTEC,8,1071,54379
GULLUB,47,1118,55043
GUFBIO,-3,1115,55368
JASENG,26,1141,56863
TEGIND,13,1154,57938
