Stock,Open,Close,Profit,Profit Percent
SKPBEA,210.0,206.55,-4,-1.9
ANGBRO,3134.0,3292.35,158,5.04
MOLTEK,259.5,269.45,10,3.86
MAZDOC,2117.5,2121.4,4,0.19
LTINFO,5644.0,6229.1,585,10.36
LIKINF,290.0,281.9,-9,-3.1
APTLIM,275.6,268.85,-7,-2.55
BETDRU,1189.0,1489.35,300,25.23
LTTEC,4878.0,5204.55,326,6.68
MANINF,200.15,202.55,2,1.0
LINPEN,716.0,669.6,-47,-6.56
NIITEC,5697.75,6290.2,593,10.41
CEINFO,2219.5,2017.1,-202,-9.1
HCLTEC,1329.0,1462.7,133,10.01
VARBEV,1076.0,1238.6,162,15.06
BANPRO,566.1,618.75,52,9.19
Total Profit,Total Invested Amount
2056,29799
