Stock,Open,Close,Profit,Profit Percent
ESAIND,5999.9,5858.2,-141,-2.35
COALIN,356.5,363.25,7,1.97
CROGRE,453.85,466.7,13,2.87
INDRAI,870.0,860.9,-10,-1.15
SWAENG,2403.8,2446.7,43,1.79
INTPAP,579.0,590.85,11,1.9
PRUCOP,1215.0,1216.35,1,0.08
ANGBRO,3245.0,3292.35,47,1.45
CRISIL,4275.0,4353.55,78,1.82
INFTEC,1540.55,1562.9,22,1.43
MADBHA,295.0,296.15,1,0.34
LTINFO,6130.0,6229.1,99,1.62
NIILEA,421.6,435.45,14,3.33
IONEXC,601.8,602.0,1,0.17
MACIN,1715.2,1723.1,8,0.47
RPGLIF,1388.0,1363.4,-25,-1.8
LTTEC,5131.35,5204.55,73,1.42
GOACAR,546.0,557.65,11,2.01
STYIND,1772.0,1754.2,-18,-1.02
ASTPHA,4750.0,5329.1,579,12.19
NIITEC,6145.4,6290.2,145,2.36
KPITE,1514.0,1539.35,25,1.65
GLELIF,642.6,645.35,3,0.47
JKPAP,389.7,389.25,0,0.0
SAKSOF,323.0,322.75,-1,-0.31
HAPMIN,916.5,916.65,0,0.0
MAHGAS,1184.95,1194.7,10,0.84
CAPPOI,1303.0,1405.8,102,7.83
BANPRO,579.05,618.75,39,6.74
ROTPUM,410.0,417.1,7,1.71
AURSOL,2100.0,2194.4,94,4.48
REDIND,175.35,175.8,0,0.0
ALLTEC,653.0,661.35,8,1.23
GULLUB,664.0,711.2,47,7.08
GUFBIO,325.5,322.8,-3,-0.92
JASENG,1495.0,1521.2,26,1.74
TEGIND,1075.0,1088.75,13,1.21
SATIND,143.4,142.9,-1,-0.7
Total Profit,Total Invested Amount
1328,63719
