Stock,Open,Close,Profit,Profit Percent
KSOIND,1071.35,1232.7,161,15.03
ACCKAL,1379.0,1387.7,8,0.58
EASTRI,38.75,38.5,0,0.0
JEESIK,664.0,603.65,-61,-9.19
INTPAP,570.3,590.85,20,3.51
REFIND,536.0,590.85,54,10.07
TATELX,8400.0,8870.65,470,5.6
SKPBEA,214.2,206.55,-8,-3.74
MADBHA,278.0,296.15,18,6.47
ANLTEC,272.0,237.0,-35,-12.87
EMSLIM,456.95,416.9,-40,-8.77
DPWIR,635.05,595.3,-40,-6.3
ROLRIN,2485.0,2376.7,-109,-4.39
GLELIF,636.4,645.35,9,1.42
LLOST,47.15,45.8,-2,-4.26
FOSIND,3568.0,3825.85,257,7.2
GRINOR,2109.0,2200.9,91,4.31
NIRAGR,227.15,272.15,45,19.82
HGINF,862.55,819.4,-43,-4.99
AURSOL,1844.2,2194.4,350,18.98
RAICHI,1102.0,1117.7,15,1.36
SAISIK,298.9,277.5,-21,-7.05
JASENG,1413.0,1521.2,108,7.64
HINOIL,162.2,181.25,19,11.73
Total Profit,Total Invested Amount
1266,29266
